Category,Llama_Size,USA,China,India,Iran,Kenya,Greece
Overall,7,0.3,0.82,0.61,0.44,0.55,0.51
Overall,13,0.3,0.8,0.66,0.52,0.57,0.51
Overall,70,0.32,0.89,0.63,0.51,0.56,0.61
female_clothing,7,0.37,0.73,0.53,0.26,0.44,0.43
female_clothing,13,0.38,0.85,0.59,0.34,0.49,0.41
female_clothing,70,0.4,0.83,0.59,0.31,0.44,0.54
female_names,7,0.12,0.85,0.53,0.52,0.65,0.46
female_names,13,0.14,0.8,0.64,0.59,0.69,0.51
female_names,70,0.14,0.9,0.58,0.61,0.66,0.58
male_clothing,7,0.51,0.64,0.79,0.36,0.54,0.59
male_clothing,13,0.48,0.68,0.8,0.45,0.52,0.56
male_clothing,70,0.51,0.66,0.77,0.42,0.48,0.68
male_names,7,0.21,0.85,0.59,0.55,0.6,0.56
male_names,13,0.22,0.82,0.61,0.62,0.57,0.56
male_names,70,0.23,0.93,0.57,0.65,0.68,0.65
