question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,middle,"{'middle': 0.95, 'anywhere': 0.05, 'left': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.82, 'middle': 0.17, 'left': 0.01, 'right': 0.0}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,left,"{'left': 0.58, 'anywhere': 0.28, 'middle': 0.12, 'right': 0.01}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,left,"{'left': 0.47, 'anywhere': 0.41, 'middle': 0.11, 'right': 0.01}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,left,"{'left': 0.59, 'anywhere': 0.31, 'middle': 0.09, 'right': 0.02}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,left,"{'left': 0.72, 'anywhere': 0.19, 'middle': 0.07, 'right': 0.02}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,front,"{'front': 1.0, 'left': 0.0, 'right': 0.0, 'back': 0.0}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,front,"{'front': 0.87, 'left': 0.12, 'right': 0.01, 'back': 0.0}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,front,"{'front': 0.97, 'right': 0.02, 'left': 0.01, 'back': 0.0}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,front,"{'front': 1.0, 'back': 0.0, 'right': 0.0, 'left': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,front,"{'front': 1.0, 'left': 0.0, 'back': 0.0, 'right': 0.0}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,front,"{'front': 1.0, 'back': 0.0, 'left': 0.0, 'right': 0.0}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",centimeter,"{'centimeter': 0.91, 'inch': 0.09, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0, 'feet': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.84, 'inch': 0.16, 'feet': 0.0, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.96, 'inch': 0.02, 'meter': 0.01, 'millimeter': 0.0, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'feet': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.97, 'inch': 0.02, 'millimeter': 0.01, 'kilometer': 0.0, 'feet': 0.0, 'meter': 0.0, 'yard': 0.0, 'mile': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.94, 'inch': 0.04, 'meter': 0.01, 'mile': 0.0, 'millimeter': 0.0, 'feet': 0.0, 'yard': 0.0, 'kilometer': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",centimeter,"{'centimeter': 0.94, 'inch': 0.03, 'meter': 0.02, 'feet': 0.0, 'millimeter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,miligram,"{'miligram': 0.75, 'kilogram': 0.19, 'pound': 0.06, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,"{'kilogram': 0.52, 'miligram': 0.47, 'ounce': 0.0, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.74, 'kilogram': 0.25, 'gram': 0.01, 'ounce': 0.0, 'pound': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.91, 'kilogram': 0.09, 'pound': 0.0, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.65, 'kilogram': 0.35, 'ounce': 0.0, 'gram': 0.0, 'pound': 0.0}"
What is the unit of measuring weight in Greece?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.77, 'kilogram': 0.22, 'pound': 0.01, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring temperature in the United States?,"Fahrenheit, Celsius, Rankine",Fahrenheit,Celsius,"{'Celsius': 0.66, 'Fahrenheit': 0.32, 'Rankine': 0.03}"
What is the unit of measuring temperature in China?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.72, 'Fahrenheit': 0.23, 'Rankine': 0.05}"
What is the unit of measuring temperature in India?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.81, 'Fahrenheit': 0.18, 'Rankine': 0.01}"
What is the unit of measuring temperature in Iran?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.77, 'Fahrenheit': 0.22, 'Rankine': 0.01}"
What is the unit of measuring temperature in Kenya?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.83, 'Fahrenheit': 0.16, 'Rankine': 0.02}"
What is the unit of measuring temperature in Greece?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.8, 'Fahrenheit': 0.18, 'Rankine': 0.02}"
"In United States, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.69, 'after': 0.15, 'below': 0.1, 'above': 0.07}"
"In China, does the month appear before/after the year in the date format?","before, after, below, above",after,before,"{'before': 0.9, 'below': 0.05, 'after': 0.03, 'above': 0.01}"
"In India, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.86, 'after': 0.13, 'above': 0.0, 'below': 0.0}"
"In Iran, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.91, 'after': 0.04, 'below': 0.04, 'above': 0.01}"
"In Kenya, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.61, 'after': 0.26, 'below': 0.08, 'above': 0.04}"
"In Greece, does the month appear before/after the year in the date format?","before, after, below, above",before,below,"{'below': 0.56, 'before': 0.33, 'above': 0.06, 'after': 0.06}"
"In United States, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.84, 'after': 0.14, 'below': 0.02, 'above': 0.01}"
"In China, does the year appear before/after the month in the date format?","before, after, below, above",before,before,"{'before': 0.8, 'after': 0.08, 'below': 0.07, 'above': 0.05}"
"In India, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.48, 'below': 0.41, 'above': 0.06, 'after': 0.05}"
"In Iran, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.56, 'below': 0.23, 'above': 0.12, 'after': 0.09}"
"In Kenya, does the year appear before/after the month in the date format?","before, after, below, above",after,below,"{'below': 0.37, 'before': 0.36, 'above': 0.15, 'after': 0.12}"
"In Greece, does the year appear before/after the month in the date format?","before, after, below, above",after,before,"{'before': 0.7, 'after': 0.14, 'below': 0.1, 'above': 0.07}"
"In United States, is it rare or common that customers pay tips after a meal?","rare, common",common,common,"{'common': 0.89, 'rare': 0.11}"
"In China, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.82, 'rare': 0.18}"
"In India, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.79, 'rare': 0.21}"
"In Iran, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.76, 'rare': 0.24}"
"In Kenya, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.79, 'rare': 0.21}"
"In Greece, is it rare or common that customers pay tips after a meal?","rare, common",rare,common,"{'common': 0.91, 'rare': 0.09}"
What time of the day American people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 1.0, 'evening': 0.0, 'afternoon': 0.0, 'morning': 0.0}"
What time of the day Chinese people usually take the shower?,"morning, noon, afternoon, evening",evening,noon,"{'noon': 1.0, 'morning': 0.0, 'evening': 0.0, 'afternoon': 0.0}"
What time of the day Indian people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 1.0, 'morning': 0.0, 'afternoon': 0.0, 'evening': 0.0}"
What time of the day Iranian people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 1.0, 'evening': 0.0, 'morning': 0.0, 'afternoon': 0.0}"
What time of the day Kenyan people usually take the shower?,"morning, noon, afternoon, evening",morning,noon,"{'noon': 1.0, 'morning': 0.0, 'evening': 0.0, 'afternoon': 0.0}"
What time of the day Greek people usually take the shower?,"morning, noon, afternoon, evening","morning, afternoon",noon,"{'noon': 1.0, 'morning': 0.0, 'afternoon': 0.0, 'evening': 0.0}"
How do American people dry their wet clothes?,"machines, sun",machines,machines,"{'machines': 0.76, 'sun': 0.24}"
How do Chinese people dry their wet clothes?,"machines, sun",sun,machines,"{'machines': 0.54, 'sun': 0.46}"
How do Indian people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.67, 'machines': 0.33}"
How do Iranian people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.81, 'machines': 0.19}"
How do Kenyan people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.72, 'machines': 0.28}"
How do Greek people dry their wet clothes?,"machines, sun",sun,sun,"{'sun': 0.83, 'machines': 0.17}"
Is it rare or common for people to use broom to clean the floor in the United States?,"rare, common",common,common,"{'common': 0.87, 'rare': 0.13}"
Is it rare or common for people to use broom to clean the floor in China?,"rare, common",common,common,"{'common': 0.86, 'rare': 0.14}"
Is it rare or common for people to use broom to clean the floor in India?,"rare, common",common,common,"{'common': 0.86, 'rare': 0.14}"
Is it rare or common for people to use broom to clean the floor in Iran?,"rare, common",rare,common,"{'common': 0.84, 'rare': 0.16}"
Is it rare or common for people to use broom to clean the floor in Kenya?,"rare, common",common,common,"{'common': 0.83, 'rare': 0.17}"
Is it rare or common for people to use broom to clean the floor in Greece?,"rare, common",common,common,"{'common': 0.84, 'rare': 0.16}"
What is the staple food in United States?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",bread,noodles,"{'noodles': 0.64, 'vegetable': 0.19, 'maize': 0.09, 'potato': 0.08, 'meat': 0.0, 'fruit': 0.0, 'bread': 0.0, 'rice': 0.0}"
What is the staple food in China?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, noodles",noodles,"{'noodles': 0.88, 'vegetable': 0.07, 'potato': 0.03, 'maize': 0.02, 'bread': 0.0, 'fruit': 0.0, 'rice': 0.0, 'meat': 0.0}"
What is the staple food in India?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",noodles,"{'noodles': 0.77, 'vegetable': 0.14, 'potato': 0.07, 'maize': 0.02, 'meat': 0.0, 'bread': 0.0, 'rice': 0.0, 'fruit': 0.0}"
What is the staple food in Iran?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",noodles,"{'noodles': 0.86, 'vegetable': 0.09, 'potato': 0.04, 'maize': 0.02, 'rice': 0.0, 'meat': 0.0, 'bread': 0.0, 'fruit': 0.0}"
What is the staple food in Kenya?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",noodles,"{'noodles': 0.79, 'maize': 0.1, 'potato': 0.07, 'vegetable': 0.04, 'meat': 0.0, 'rice': 0.0, 'bread': 0.0, 'fruit': 0.0}"
What is the staple food in Greece?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","bread, meat, vegetable",noodles,"{'noodles': 0.67, 'vegetable': 0.26, 'potato': 0.06, 'maize': 0.01, 'meat': 0.0, 'bread': 0.0, 'fruit': 0.0, 'rice': 0.0}"
Which tools do American people usually eat food with?,"knife, fork, spoon, hand, chopsticks","knife, fork",chopsticks,"{'chopsticks': 0.99, 'knife': 0.01, 'fork': 0.0, 'spoon': 0.0, 'hand': 0.0}"
Which tools do Chinese people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,chopsticks,"{'chopsticks': 1.0, 'spoon': 0.0, 'hand': 0.0, 'fork': 0.0, 'knife': 0.0}"
Which tools do Indian people usually eat food with?,"knife, fork, spoon, hand, chopsticks","spoon, hand",chopsticks,"{'chopsticks': 0.99, 'knife': 0.01, 'spoon': 0.0, 'fork': 0.0, 'hand': 0.0}"
