question,options,correct_answer,response,probabilities
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,右,"{'右': 0.94, '左': 0.05, '其他': 0.01, '中间': 0.0}"
在中国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,左,"{'左': 0.61, '右': 0.26, '其他': 0.13, '中间': 0.0}"
在印度，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,左,"{'左': 0.76, '右': 0.2, '其他': 0.04, '中间': 0.0}"
在伊朗，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,右,"{'右': 0.68, '左': 0.23, '其他': 0.08, '中间': 0.0}"
在肯尼亚，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,右,"{'右': 0.73, '左': 0.26, '其他': 0.01, '中间': 0.0}"
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,右,"{'右': 0.91, '左': 0.08, '其他': 0.01, '中间': 0.0}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.57, '右': 0.4, '前': 0.02, '后': 0.01}"
在中国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.49, '右': 0.47, '后': 0.03, '前': 0.0}"
在印度，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,右,"{'右': 0.6, '左': 0.39, '前': 0.0, '后': 0.0}"
在伊朗，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.66, '右': 0.31, '后': 0.02, '前': 0.01}"
在肯尼亚，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,左,"{'左': 0.56, '右': 0.41, '前': 0.02, '后': 0.01}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.56, '左': 0.34, '后': 0.1, '前': 0.01}"
在美国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸",英尺,"{'英尺': 0.69, '英里': 0.15, '英寸': 0.13, '厘米': 0.01, '米': 0.01, '码': 0.0, '千米': 0.0, '毫米': 0.0}"
在中国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","米, 厘米",英尺,"{'英尺': 0.32, '英里': 0.29, '厘米': 0.25, '米': 0.09, '英寸': 0.03, '毫米': 0.02, '码': 0.0, '千米': 0.0}"
在印度，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸, 米, 厘米",英尺,"{'英尺': 0.51, '英里': 0.14, '厘米': 0.14, '毫米': 0.12, '英寸': 0.05, '米': 0.04, '码': 0.0, '千米': 0.0}"
在伊朗，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","米, 厘米",英尺,"{'英尺': 0.57, '英里': 0.21, '米': 0.11, '毫米': 0.05, '英寸': 0.04, '厘米': 0.03, '千米': 0.0, '码': 0.0}"
在肯尼亚，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸, 米, 厘米",英尺,"{'英尺': 0.73, '英里': 0.14, '米': 0.08, '英寸': 0.02, '厘米': 0.02, '毫米': 0.01, '码': 0.0, '千米': 0.0}"
