question,options,correct_answer,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,οπουδήποτε.,"{'οπουδήποτε.': 0.3, 'στο κέντρο': 0.27, 'αριστερά': 0.27, 'Δεξιά': 0.15}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κίνα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,αριστερά,"{'αριστερά': 0.31, 'οπουδήποτε.': 0.29, 'στο κέντρο': 0.28, 'Δεξιά': 0.12}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Ινδία;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,αριστερά,"{'αριστερά': 0.31, 'οπουδήποτε.': 0.28, 'στο κέντρο': 0.28, 'Δεξιά': 0.12}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στο Ιράν;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,αριστερά,"{'αριστερά': 0.33, 'οπουδήποτε.': 0.29, 'στο κέντρο': 0.28, 'Δεξιά': 0.1}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κένυα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,αριστερά,"{'αριστερά': 0.32, 'οπουδήποτε.': 0.28, 'στο κέντρο': 0.26, 'Δεξιά': 0.14}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",δεξιά,αριστερά,"{'αριστερά': 0.31, 'οπουδήποτε.': 0.3, 'στο κέντρο': 0.26, 'Δεξιά': 0.13}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.5, 'μπροστά': 0.28, 'Δεξιά': 0.17, 'πίσω': 0.04}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κίνα;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.52, 'μπροστά': 0.26, 'Δεξιά': 0.19, 'πίσω': 0.03}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Ινδία;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.51, 'μπροστά': 0.26, 'Δεξιά': 0.19, 'πίσω': 0.04}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στο Ιράν;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.51, 'μπροστά': 0.27, 'Δεξιά': 0.19, 'πίσω': 0.04}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κένυα;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.5, 'μπροστά': 0.27, 'Δεξιά': 0.19, 'πίσω': 0.03}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,αριστερά,"{'αριστερά': 0.48, 'μπροστά': 0.27, 'Δεξιά': 0.21, 'πίσω': 0.04}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες",χιλιόμετρο,"{'χιλιόμετρο': 0.37, 'εκατοστά': 0.19, 'χιλιοστά': 0.13, 'ίντσες': 0.08, 'μέτρα': 0.07, 'μέτρο': 0.06, 'μίλια': 0.05, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Κίνα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.34, 'εκατοστά': 0.19, 'χιλιοστά': 0.15, 'ίντσες': 0.08, 'μέτρα': 0.07, 'πόδια': 0.06, 'μέτρο': 0.06, 'μίλια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Ινδία;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.34, 'χιλιοστά': 0.19, 'εκατοστά': 0.17, 'ίντσες': 0.07, 'μέτρο': 0.06, 'μέτρα': 0.06, 'μίλια': 0.05, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στο Ιράν;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.36, 'χιλιοστά': 0.18, 'εκατοστά': 0.17, 'μέτρα': 0.07, 'ίντσες': 0.07, 'μέτρο': 0.06, 'πόδια': 0.05, 'μίλια': 0.04}"
Ποια είναι η μονάδα μέτρησης του ύψους στην Κένυα;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες, μέτρα, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.33, 'εκατοστά': 0.19, 'χιλιοστά': 0.17, 'μέτρο': 0.07, 'ίντσες': 0.07, 'μίλια': 0.06, 'πόδια': 0.06, 'μέτρα': 0.06}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","μέτρο, εκατοστά",χιλιόμετρο,"{'χιλιόμετρο': 0.33, 'εκατοστά': 0.17, 'χιλιοστά': 0.16, 'ίντσες': 0.08, 'μέτρο': 0.07, 'πόδια': 0.07, 'μέτρα': 0.06, 'μίλια': 0.04}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",λίβρα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.36, 'χιλιόγραμμο': 0.28, 'γραμμάριο': 0.24, 'ουγγιά': 0.06, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κίνα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.36, 'χιλιόγραμμο': 0.29, 'γραμμάριο': 0.23, 'ουγγιά': 0.07, 'λίβρα': 0.04}"
Ποια είναι η μονάδα μέτρησης βάρους στην Ινδία;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.38, 'χιλιόγραμμο': 0.27, 'γραμμάριο': 0.24, 'ουγγιά': 0.06, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στο Ιράν;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.41, 'χιλιόγραμμο': 0.27, 'γραμμάριο': 0.22, 'ουγγιά': 0.06, 'λίβρα': 0.04}"
Ποια είναι η μονάδα μέτρησης βάρους στην Κένυα;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.4, 'χιλιόγραμμο': 0.25, 'γραμμάριο': 0.23, 'ουγγιά': 0.07, 'λίβρα': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους στις Ηνωμένες Πολιτείες;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιόγραμμα,χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.39, 'χιλιόγραμμο': 0.27, 'γραμμάριο': 0.23, 'ουγγιά': 0.07, 'λίβρα': 0.05}"
