question,options,correct_answer,response,probabilities
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.4, 'هرجا': 0.36, 'وسط': 0.17, 'چپ': 0.07}"
در چین رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.39, 'هرجا': 0.36, 'وسط': 0.17, 'چپ': 0.07}"
در هند رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,راست,"{'راست': 0.38, 'هرجا': 0.37, 'وسط': 0.17, 'چپ': 0.08}"
در ایران رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.41, 'هرجا': 0.34, 'وسط': 0.17, 'چپ': 0.08}"
در کنیا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,هرجا,"{'هرجا': 0.38, 'راست': 0.37, 'وسط': 0.17, 'چپ': 0.08}"
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.44, 'هرجا': 0.32, 'وسط': 0.17, 'چپ': 0.07}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.51, 'جلو': 0.24, 'عقب': 0.18, 'چپ': 0.07}"
در چین صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.48, 'جلو': 0.26, 'عقب': 0.16, 'چپ': 0.1}"
در هند صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.47, 'جلو': 0.24, 'عقب': 0.21, 'چپ': 0.08}"
در ایران صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.47, 'جلو': 0.28, 'عقب': 0.17, 'چپ': 0.08}"
در کنیا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.5, 'جلو': 0.27, 'عقب': 0.16, 'چپ': 0.07}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.48, 'جلو': 0.26, 'عقب': 0.16, 'چپ': 0.09}"
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت",سانتی متر,"{'سانتی متر': 0.26, 'کیلومتر': 0.25, 'میلی متر': 0.2, 'یارد': 0.08, 'اینچ': 0.07, 'فوت': 0.05, 'متر': 0.04, 'مایل': 0.04}"
در چین برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",کیلومتر,"{'کیلومتر': 0.27, 'سانتی متر': 0.25, 'میلی متر': 0.2, 'یارد': 0.08, 'اینچ': 0.07, 'فوت': 0.05, 'مایل': 0.04, 'متر': 0.04}"
در هند برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'کیلومتر': 0.25, 'میلی متر': 0.19, 'اینچ': 0.08, 'یارد': 0.08, 'متر': 0.05, 'فوت': 0.04, 'مایل': 0.04}"
در ایران برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'کیلومتر': 0.26, 'میلی متر': 0.18, 'یارد': 0.09, 'اینچ': 0.07, 'متر': 0.05, 'فوت': 0.04, 'مایل': 0.04}"
در کنیا برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'کیلومتر': 0.26, 'میلی متر': 0.18, 'اینچ': 0.09, 'یارد': 0.08, 'متر': 0.05, 'فوت': 0.04, 'مایل': 0.04}"
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","سانتی متر, کیلومتر",سانتی متر,"{'سانتی متر': 0.28, 'کیلومتر': 0.24, 'میلی متر': 0.18, 'یارد': 0.1, 'اینچ': 0.07, 'فوت': 0.04, 'مایل': 0.04, 'متر': 0.04}"
در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",پوند,کیلوگرم,"{'کیلوگرم': 0.41, 'میلی گرم': 0.27, 'پوند': 0.16, 'اونس': 0.09, 'گرم': 0.07}"
در چین برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,کیلوگرم,"{'کیلوگرم': 0.38, 'میلی گرم': 0.3, 'پوند': 0.14, 'اونس': 0.1, 'گرم': 0.08}"
در هند برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,کیلوگرم,"{'کیلوگرم': 0.38, 'میلی گرم': 0.28, 'پوند': 0.17, 'اونس': 0.1, 'گرم': 0.06}"
در ایران برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,کیلوگرم,"{'کیلوگرم': 0.37, 'میلی گرم': 0.3, 'پوند': 0.18, 'اونس': 0.1, 'گرم': 0.06}"
در کنیا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,کیلوگرم,"{'کیلوگرم': 0.39, 'میلی گرم': 0.28, 'پوند': 0.14, 'اونس': 0.13, 'گرم': 0.06}"
در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",کیلوگرم,کیلوگرم,"{'میلی گرم': 0.35, 'کیلوگرم': 0.35, 'پوند': 0.14, 'اونس': 0.11, 'گرم': 0.06}"
در ایالت متحده آمریکا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",فارنهایت,فارنهایت,"{'فارنهایت': 0.43, 'رانکین': 0.31, 'سلسیوس': 0.26}"
در چین برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",سلسیوس,فارنهایت,"{'فارنهایت': 0.49, 'رانکین': 0.28, 'سلسیوس': 0.23}"
در هند برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",سلسیوس,فارنهایت,"{'فارنهایت': 0.41, 'سلسیوس': 0.31, 'رانکین': 0.28}"
در ایران برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",سلسیوس,فارنهایت,"{'فارنهایت': 0.42, 'سلسیوس': 0.32, 'رانکین': 0.26}"
در کنیا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",سلسیوس,فارنهایت,"{'فارنهایت': 0.48, 'رانکین': 0.29, 'سلسیوس': 0.23}"
در ایالت متحده آمریکا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",سلسیوس,فارنهایت,"{'فارنهایت': 0.46, 'رانکین': 0.29, 'سلسیوس': 0.26}"
در فرمت تاریخ در ایالت متحده آمریکا ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,بعد,"{'بعد': 0.27, 'قبل': 0.25, 'بالا': 0.25, 'زیر': 0.23}"
در فرمت تاریخ در چین ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",بعد,بالا,"{'بالا': 0.29, 'بعد': 0.27, 'زیر': 0.24, 'قبل': 0.2}"
در فرمت تاریخ در هند ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,بعد,"{'بعد': 0.28, 'زیر': 0.25, 'قبل': 0.24, 'بالا': 0.24}"
در فرمت تاریخ در ایران ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,بعد,"{'بعد': 0.3, 'بالا': 0.26, 'قبل': 0.22, 'زیر': 0.22}"
در فرمت تاریخ در کنیا ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,بعد,"{'بعد': 0.31, 'بالا': 0.26, 'زیر': 0.21, 'قبل': 0.21}"
در فرمت تاریخ در ایالت متحده آمریکا ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,بالا,"{'بالا': 0.28, 'بعد': 0.27, 'زیر': 0.23, 'قبل': 0.22}"
در فرمت تاریخ در ایالت متحده آمریکا سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,بالا,"{'بالا': 0.3, 'بعد': 0.26, 'زیر': 0.24, 'قبل': 0.21}"
در فرمت تاریخ در چین سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",قبل,بالا,"{'بالا': 0.3, 'بعد': 0.26, 'زیر': 0.24, 'قبل': 0.2}"
در فرمت تاریخ در هند سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,بعد,"{'بعد': 0.27, 'قبل': 0.25, 'بالا': 0.24, 'زیر': 0.24}"
در فرمت تاریخ در ایران سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,بعد,"{'بعد': 0.31, 'زیر': 0.23, 'قبل': 0.23, 'بالا': 0.23}"
در فرمت تاریخ در کنیا سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,بالا,"{'بالا': 0.29, 'بعد': 0.25, 'زیر': 0.24, 'قبل': 0.22}"
در فرمت تاریخ در ایالت متحده آمریکا سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بعد,بعد,"{'بعد': 0.31, 'بالا': 0.24, 'زیر': 0.22, 'قبل': 0.22}"
آیا در ایالت متحده آمریکا پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",رایج,رایج,"{'رایج': 0.53, 'نادر': 0.47}"
آیا در چین پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,نادر,"{'رایج': 0.5, 'نادر': 0.5}"
آیا در هند پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,نادر,"{'رایج': 0.5, 'نادر': 0.5}"
آیا در ایران پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,نادر,"{'نادر': 0.56, 'رایج': 0.44}"
آیا در کنیا پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,نادر,"{'نادر': 0.54, 'رایج': 0.46}"
آیا در ایالت متحده آمریکا پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.57, 'رایج': 0.43}"
آمریکایی ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",صبح,بعد از ظهر,"{'بعد از ظهر': 0.76, 'صبح': 0.09, 'عصر': 0.08, 'ظهر': 0.06}"
چینی ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",عصر,بعد از ظهر,"{'بعد از ظهر': 0.76, 'صبح': 0.1, 'عصر': 0.08, 'ظهر': 0.06}"
هندی ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",صبح,بعد از ظهر,"{'بعد از ظهر': 0.8, 'عصر': 0.08, 'صبح': 0.08, 'ظهر': 0.04}"
ایرانی ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",صبح,بعد از ظهر,"{'بعد از ظهر': 0.78, 'صبح': 0.1, 'عصر': 0.07, 'ظهر': 0.05}"
کنیای ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",صبح,بعد از ظهر,"{'بعد از ظهر': 0.77, 'صبح': 0.11, 'عصر': 0.08, 'ظهر': 0.04}"
آمریکایی ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر","صبح, بعد از ظهر",بعد از ظهر,"{'بعد از ظهر': 0.78, 'صبح': 0.1, 'عصر': 0.08, 'ظهر': 0.05}"
آمریکایی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",ماشین خشک کن,ماشین خشک کن,"{'ماشین خشک کن': 0.68, 'خورشید': 0.32}"
چینی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",خورشید,ماشین خشک کن,"{'ماشین خشک کن': 0.72, 'خورشید': 0.28}"
هندی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",خورشید,ماشین خشک کن,"{'ماشین خشک کن': 0.71, 'خورشید': 0.29}"
ایرانی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",خورشید,ماشین خشک کن,"{'ماشین خشک کن': 0.71, 'خورشید': 0.29}"
کنیای ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",خورشید,ماشین خشک کن,"{'ماشین خشک کن': 0.67, 'خورشید': 0.33}"
آمریکایی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",خورشید,ماشین خشک کن,"{'ماشین خشک کن': 0.71, 'خورشید': 0.29}"
در ایالت متحده آمریکا خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.54, 'رایج': 0.46}"
در چین خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.56, 'رایج': 0.44}"
در هند خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.52, 'رایج': 0.48}"
در ایران خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",نادر,نادر,"{'نادر': 0.56, 'رایج': 0.44}"
در کنیا خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.54, 'رایج': 0.46}"
در ایالت متحده آمریکا خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",نادر,نادر,"{'رایج': 0.5, 'نادر': 0.5}"
در ایالت متحده آمریکا غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",نان,سیب زمینی,"{'سیب زمینی': 0.32, 'گوشت': 0.13, 'برنج': 0.13, 'میوه': 0.12, 'نودل': 0.12, 'سبزی': 0.08, 'نان': 0.07, 'ذرت': 0.04}"
در چین غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت","برنج, نودل",سیب زمینی,"{'سیب زمینی': 0.32, 'گوشت': 0.17, 'برنج': 0.13, 'نودل': 0.11, 'نان': 0.08, 'میوه': 0.08, 'سبزی': 0.06, 'ذرت': 0.04}"
در هند غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت","برنج, نان",سیب زمینی,"{'سیب زمینی': 0.4, 'گوشت': 0.12, 'برنج': 0.11, 'سبزی': 0.1, 'نودل': 0.09, 'نان': 0.07, 'میوه': 0.07, 'ذرت': 0.03}"
در ایران غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت","برنج, نان",سیب زمینی,"{'سیب زمینی': 0.35, 'گوشت': 0.14, 'سبزی': 0.12, 'نودل': 0.12, 'برنج': 0.12, 'نان': 0.07, 'میوه': 0.06, 'ذرت': 0.03}"
در کنیا غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت","سبزی, ذرت",سیب زمینی,"{'سیب زمینی': 0.32, 'نودل': 0.15, 'گوشت': 0.13, 'برنج': 0.12, 'نان': 0.09, 'میوه': 0.07, 'سبزی': 0.07, 'ذرت': 0.04}"
در ایالت متحده آمریکا غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت","نان, گوشت, میوه",سیب زمینی,"{'سیب زمینی': 0.38, 'گوشت': 0.13, 'نودل': 0.11, 'برنج': 0.11, 'سبزی': 0.1, 'میوه': 0.07, 'نان': 0.07, 'ذرت': 0.04}"
آمریکایی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک","چاقو, چنگال",چاپستیک,"{'چاپستیک': 0.38, 'چاقو': 0.21, 'چنگال': 0.16, 'دست': 0.14, 'قاشق': 0.11}"
چینی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک",چاپستیک,چاپستیک,"{'چاپستیک': 0.36, 'چنگال': 0.21, 'چاقو': 0.21, 'قاشق': 0.11, 'دست': 0.11}"
هندی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک","قاشق, دست",چاپستیک,"{'چاپستیک': 0.44, 'چاقو': 0.16, 'دست': 0.15, 'چنگال': 0.15, 'قاشق': 0.11}"
ایرانی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک","قاشق, چنگال",چاپستیک,"{'چاپستیک': 0.41, 'چنگال': 0.17, 'چاقو': 0.17, 'دست': 0.14, 'قاشق': 0.1}"
کنیای ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک","قاشق, چنگال",چاپستیک,"{'چاپستیک': 0.41, 'چاقو': 0.18, 'چنگال': 0.16, 'قاشق': 0.13, 'دست': 0.12}"
آمریکایی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک","چاقو, چنگال",چاپستیک,"{'چاپستیک': 0.38, 'چاقو': 0.21, 'چنگال': 0.16, 'دست': 0.14, 'قاشق': 0.11}"
در ایالت متحده آمریکا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",نادر,رایج,"{'رایج': 0.53, 'نادر': 0.47}"
در چین پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",رایج,رایج,"{'رایج': 0.52, 'نادر': 0.48}"
در هند پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",رایج,نادر,"{'نادر': 0.55, 'رایج': 0.45}"
در ایران پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",نادر,رایج,"{'رایج': 0.51, 'نادر': 0.49}"
