question,options,correct_answer,response,probabilities
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,कहीं भी,"{'कहीं भी': 0.35, 'बाएं': 0.27, 'दायें': 0.22, 'मध्यम': 0.16}"
चीन में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,कहीं भी,"{'कहीं भी': 0.32, 'बाएं': 0.28, 'दायें': 0.23, 'मध्यम': 0.17}"
भारत में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,कहीं भी,"{'कहीं भी': 0.36, 'बाएं': 0.27, 'दायें': 0.21, 'मध्यम': 0.16}"
ईरान में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,कहीं भी,"{'कहीं भी': 0.35, 'बाएं': 0.28, 'दायें': 0.21, 'मध्यम': 0.17}"
केन्या में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,कहीं भी,"{'कहीं भी': 0.3, 'बाएं': 0.28, 'दायें': 0.24, 'मध्यम': 0.18}"
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,कहीं भी,"{'कहीं भी': 0.35, 'बाएं': 0.26, 'दायें': 0.22, 'मध्यम': 0.17}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.34, 'दायें': 0.3, 'पीछे': 0.29, 'आगे': 0.06}"
चीन में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.37, 'पीछे': 0.3, 'दायें': 0.26, 'आगे': 0.08}"
भारत में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.38, 'दायें': 0.28, 'पीछे': 0.27, 'आगे': 0.07}"
ईरान में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.38, 'पीछे': 0.29, 'दायें': 0.25, 'आगे': 0.08}"
केन्या में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.34, 'पीछे': 0.33, 'दायें': 0.27, 'आगे': 0.06}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.34, 'पीछे': 0.34, 'दायें': 0.26, 'आगे': 0.06}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट",सेंटीमीटर,"{'सेंटीमीटर': 0.26, 'मिलीमीटर': 0.22, 'किलोमीटर': 0.17, 'इंच': 0.1, 'यार्ड': 0.1, 'फीट': 0.09, 'मीटर': 0.04, 'मील': 0.03}"
चीन में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.26, 'मिलीमीटर': 0.2, 'किलोमीटर': 0.19, 'फीट': 0.1, 'इंच': 0.1, 'यार्ड': 0.1, 'मीटर': 0.04, 'मील': 0.02}"
भारत में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.27, 'मिलीमीटर': 0.2, 'किलोमीटर': 0.18, 'फीट': 0.11, 'इंच': 0.1, 'यार्ड': 0.1, 'मीटर': 0.04, 'मील': 0.01}"
ईरान में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.25, 'किलोमीटर': 0.22, 'मिलीमीटर': 0.21, 'यार्ड': 0.11, 'फीट': 0.08, 'इंच': 0.08, 'मीटर': 0.04, 'मील': 0.02}"
केन्या में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.28, 'मिलीमीटर': 0.21, 'किलोमीटर': 0.15, 'यार्ड': 0.1, 'इंच': 0.1, 'फीट': 0.09, 'मीटर': 0.05, 'मील': 0.02}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",सेंटीमीटर,"{'सेंटीमीटर': 0.26, 'मिलीमीटर': 0.21, 'किलोमीटर': 0.17, 'इंच': 0.11, 'यार्ड': 0.1, 'फीट': 0.09, 'मीटर': 0.04, 'मील': 0.02}"
अमेरिका में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",पाउंड,किलोग्राम,"{'किलोग्राम': 0.34, 'मिलीग्राम': 0.27, 'पाउंड': 0.18, 'अउंस': 0.12, 'ग्राम': 0.09}"
चीन में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.28, 'मिलीग्राम': 0.26, 'पाउंड': 0.19, 'अउंस': 0.18, 'ग्राम': 0.09}"
भारत में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.32, 'मिलीग्राम': 0.25, 'पाउंड': 0.17, 'अउंस': 0.17, 'ग्राम': 0.09}"
ईरान में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.31, 'मिलीग्राम': 0.26, 'अउंस': 0.17, 'पाउंड': 0.17, 'ग्राम': 0.09}"
केन्या में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,मिलीग्राम,"{'मिलीग्राम': 0.27, 'किलोग्राम': 0.24, 'अउंस': 0.21, 'पाउंड': 0.19, 'ग्राम': 0.09}"
अमेरिका में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.31, 'मिलीग्राम': 0.28, 'पाउंड': 0.2, 'अउंस': 0.13, 'ग्राम': 0.09}"
अमेरिका में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",फ़ारेनहाइट,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.56, 'सेल्सीयस': 0.32, 'रैंकिन': 0.12}"
चीन में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.52, 'सेल्सीयस': 0.34, 'रैंकिन': 0.14}"
भारत में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.57, 'सेल्सीयस': 0.31, 'रैंकिन': 0.12}"
ईरान में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.48, 'सेल्सीयस': 0.36, 'रैंकिन': 0.15}"
केन्या में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.53, 'सेल्सीयस': 0.33, 'रैंकिन': 0.13}"
अमेरिका में तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",सेल्सीयस,फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.56, 'सेल्सीयस': 0.31, 'रैंकिन': 0.13}"
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.55, 'ऊपर': 0.21, 'पहले': 0.13, 'नीचे': 0.11}"
क्या माह चीन में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.6, 'ऊपर': 0.21, 'पहले': 0.09, 'नीचे': 0.09}"
क्या माह भारत में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.53, 'ऊपर': 0.23, 'पहले': 0.14, 'नीचे': 0.1}"
क्या माह ईरान में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.52, 'ऊपर': 0.22, 'पहले': 0.14, 'नीचे': 0.12}"
क्या माह केन्या में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.59, 'ऊपर': 0.2, 'नीचे': 0.11, 'पहले': 0.09}"
क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.55, 'ऊपर': 0.21, 'पहले': 0.13, 'नीचे': 0.11}"
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.6, 'ऊपर': 0.2, 'नीचे': 0.11, 'पहले': 0.09}"
क्या वर्ष चीन में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",पहले,उपरांत,"{'उपरांत': 0.51, 'ऊपर': 0.27, 'पहले': 0.12, 'नीचे': 0.11}"
क्या वर्ष भारत में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.57, 'ऊपर': 0.21, 'पहले': 0.12, 'नीचे': 0.1}"
क्या वर्ष ईरान में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.51, 'ऊपर': 0.23, 'पहले': 0.15, 'नीचे': 0.11}"
क्या वर्ष केन्या में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.58, 'ऊपर': 0.2, 'नीचे': 0.12, 'पहले': 0.1}"
क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,उपरांत,"{'उपरांत': 0.54, 'ऊपर': 0.21, 'पहले': 0.13, 'नीचे': 0.12}"
क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",आम,दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
क्या यह दुर्लभ या आम है कि ग्राहक चीन में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
क्या यह दुर्लभ या आम है कि ग्राहक भारत में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
क्या यह दुर्लभ या आम है कि ग्राहक ईरान में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,दुर्लभ,"{'दुर्लभ': 0.92, 'आम': 0.08}"
क्या यह दुर्लभ या आम है कि ग्राहक केन्या में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",आम,दुर्लभ,"{'दुर्लभ': 0.93, 'आम': 0.07}"
अमेरिकी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",सुबह,दोपहर,"{'दोपहर': 0.48, 'सुबह': 0.34, 'शाम': 0.09}"
चीनी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",शाम,दोपहर,"{'दोपहर': 0.51, 'सुबह': 0.3, 'शाम': 0.09}"
भारतीय लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",सुबह,दोपहर,"{'दोपहर': 0.49, 'सुबह': 0.32, 'शाम': 0.09}"
ईरानी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",सुबह,दोपहर,"{'दोपहर': 0.5, 'सुबह': 0.31, 'शाम': 0.09}"
केन्याी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",सुबह,दोपहर,"{'दोपहर': 0.52, 'सुबह': 0.31, 'शाम': 0.08}"
अमेरिकी लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम","सुबह, दोपहर",दोपहर,"{'दोपहर': 0.51, 'सुबह': 0.31, 'शाम': 0.09}"
अमेरिकी लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",मशीनों,मशीनों,"{'मशीनों': 0.81, 'धूप': 0.19}"
चीनी लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",धूप,मशीनों,"{'मशीनों': 0.82, 'धूप': 0.18}"
भारतीय लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",धूप,मशीनों,"{'मशीनों': 0.81, 'धूप': 0.19}"
ईरानी लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",धूप,मशीनों,"{'मशीनों': 0.77, 'धूप': 0.23}"
केन्याी लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",धूप,मशीनों,"{'मशीनों': 0.78, 'धूप': 0.22}"
