question,options,correct_answer,response,probabilities
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.76, '中间': 0.17, '右': 0.04, '左': 0.03}"
在中国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.84, '中间': 0.08, '左': 0.04, '右': 0.04}"
在印度，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,其他,"{'其他': 0.77, '中间': 0.16, '右': 0.04, '左': 0.03}"
在伊朗，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.79, '中间': 0.17, '右': 0.03, '左': 0.02}"
在肯尼亚，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",左,其他,"{'其他': 0.81, '中间': 0.17, '右': 0.01, '左': 0.01}"
在美国，人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,其他,"{'其他': 0.8, '中间': 0.13, '右': 0.04, '左': 0.03}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,左,"{'左': 0.4, '右': 0.39, '后': 0.16, '前': 0.05}"
在中国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.44, '左': 0.35, '后': 0.15, '前': 0.06}"
在印度，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,左,"{'左': 0.34, '右': 0.33, '后': 0.27, '前': 0.07}"
在伊朗，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.4, '左': 0.36, '后': 0.16, '前': 0.07}"
在肯尼亚，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",右,左,"{'左': 0.37, '右': 0.28, '后': 0.25, '前': 0.09}"
在美国，车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,右,"{'右': 0.37, '左': 0.33, '后': 0.24, '前': 0.05}"
在美国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸",英尺,"{'英尺': 0.3, '厘米': 0.29, '英寸': 0.25, '毫米': 0.13, '千米': 0.02, '英里': 0.01, '米': 0.0, '码': 0.0}"
在中国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","米, 厘米",厘米,"{'厘米': 0.39, '英寸': 0.22, '英尺': 0.19, '毫米': 0.16, '千米': 0.03, '英里': 0.01, '码': 0.0, '米': 0.0}"
在印度，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸, 米, 厘米",厘米,"{'厘米': 0.31, '英寸': 0.27, '英尺': 0.22, '毫米': 0.15, '千米': 0.03, '英里': 0.01, '米': 0.0, '码': 0.0}"
在伊朗，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","米, 厘米",厘米,"{'厘米': 0.39, '英尺': 0.24, '英寸': 0.2, '毫米': 0.13, '千米': 0.02, '英里': 0.01, '米': 0.0, '码': 0.0}"
在肯尼亚，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","英尺, 英寸, 米, 厘米",厘米,"{'厘米': 0.39, '英尺': 0.21, '英寸': 0.21, '毫米': 0.15, '千米': 0.03, '英里': 0.01, '码': 0.0, '米': 0.0}"
在美国，测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米","厘米, 米",英尺,"{'英尺': 0.3, '厘米': 0.29, '英寸': 0.24, '毫米': 0.14, '千米': 0.02, '英里': 0.01, '码': 0.0, '米': 0.0}"
在美国，测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",磅,公斤,"{'公斤': 0.44, '盎司': 0.24, '毫克': 0.22, '磅': 0.1, '克': 0.0}"
在中国，测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",公斤,公斤,"{'公斤': 0.44, '毫克': 0.27, '盎司': 0.22, '磅': 0.07, '克': 0.0}"
