question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,left,"{'left': 0.56, 'right': 0.29, 'anywhere': 0.13, 'middle': 0.02}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,right,"{'right': 0.57, 'left': 0.23, 'anywhere': 0.15, 'middle': 0.05}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,right,"{'right': 0.84, 'left': 0.08, 'anywhere': 0.08, 'middle': 0.01}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,right,"{'right': 0.69, 'left': 0.16, 'anywhere': 0.11, 'middle': 0.04}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,right,"{'right': 0.81, 'anywhere': 0.09, 'left': 0.08, 'middle': 0.02}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,left,"{'left': 0.49, 'right': 0.34, 'anywhere': 0.16, 'middle': 0.01}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,front,"{'front': 0.96, 'left': 0.02, 'right': 0.02, 'back': 0.0}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,front,"{'front': 0.86, 'right': 0.11, 'left': 0.03, 'back': 0.0}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,front,"{'front': 0.74, 'right': 0.2, 'left': 0.04, 'back': 0.02}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,front,"{'front': 0.88, 'right': 0.09, 'left': 0.03, 'back': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,front,"{'front': 0.71, 'right': 0.19, 'left': 0.09, 'back': 0.01}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,front,"{'front': 0.89, 'right': 0.08, 'back': 0.01, 'left': 0.01}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",inch,"{'inch': 0.72, 'centimeter': 0.28, 'feet': 0.01, 'kilometer': 0.0, 'meter': 0.0, 'millimeter': 0.0, 'mile': 0.0, 'yard': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",inch,"{'inch': 0.71, 'centimeter': 0.29, 'mile': 0.0, 'kilometer': 0.0, 'feet': 0.0, 'millimeter': 0.0, 'yard': 0.0, 'meter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",inch,"{'inch': 0.73, 'centimeter': 0.27, 'feet': 0.0, 'kilometer': 0.0, 'meter': 0.0, 'mile': 0.0, 'millimeter': 0.0, 'yard': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",inch,"{'inch': 0.6, 'centimeter': 0.4, 'meter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'millimeter': 0.0, 'mile': 0.0, 'feet': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",inch,"{'inch': 0.62, 'centimeter': 0.38, 'mile': 0.0, 'feet': 0.0, 'kilometer': 0.0, 'yard': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",inch,"{'inch': 0.67, 'centimeter': 0.33, 'yard': 0.0, 'millimeter': 0.0, 'kilometer': 0.0, 'meter': 0.0, 'mile': 0.0, 'feet': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,miligram,"{'miligram': 0.49, 'ounce': 0.46, 'pound': 0.03, 'kilogram': 0.03, 'gram': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.67, 'ounce': 0.2, 'kilogram': 0.08, 'pound': 0.05, 'gram': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.72, 'ounce': 0.21, 'kilogram': 0.05, 'pound': 0.02, 'gram': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.62, 'ounce': 0.28, 'kilogram': 0.07, 'pound': 0.03, 'gram': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.65, 'ounce': 0.22, 'kilogram': 0.1, 'pound': 0.03, 'gram': 0.0}"
