question,options,correct_answer,response,probabilities
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.58, 'وسط': 0.19, 'هرجا': 0.19, 'چپ': 0.04}"
در چین رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.49, 'هرجا': 0.32, 'وسط': 0.15, 'چپ': 0.04}"
در هند رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,راست,"{'راست': 0.56, 'هرجا': 0.22, 'وسط': 0.16, 'چپ': 0.06}"
در ایران رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.52, 'هرجا': 0.27, 'وسط': 0.16, 'چپ': 0.05}"
در کنیا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",چپ,راست,"{'راست': 0.55, 'هرجا': 0.26, 'وسط': 0.14, 'چپ': 0.05}"
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,راست,"{'راست': 0.59, 'هرجا': 0.21, 'وسط': 0.16, 'چپ': 0.05}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.5, 'جلو': 0.27, 'عقب': 0.18, 'چپ': 0.04}"
در چین صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.55, 'جلو': 0.23, 'عقب': 0.19, 'چپ': 0.04}"
در هند صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.58, 'جلو': 0.2, 'عقب': 0.17, 'چپ': 0.05}"
در ایران صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.52, 'جلو': 0.24, 'عقب': 0.19, 'چپ': 0.04}"
در کنیا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,راست,"{'راست': 0.55, 'جلو': 0.23, 'عقب': 0.17, 'چپ': 0.05}"
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",چپ,راست,"{'راست': 0.56, 'جلو': 0.21, 'عقب': 0.19, 'چپ': 0.04}"
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت",سانتی متر,"{'سانتی متر': 0.29, 'میلی متر': 0.23, 'کیلومتر': 0.22, 'یارد': 0.08, 'اینچ': 0.06, 'مایل': 0.05, 'متر': 0.05, 'فوت': 0.03}"
در چین برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'میلی متر': 0.24, 'کیلومتر': 0.23, 'یارد': 0.07, 'اینچ': 0.06, 'متر': 0.05, 'مایل': 0.04, 'فوت': 0.03}"
در هند برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'میلی متر': 0.26, 'کیلومتر': 0.22, 'یارد': 0.07, 'مایل': 0.06, 'اینچ': 0.06, 'متر': 0.05, 'فوت': 0.02}"
در ایران برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'میلی متر': 0.25, 'کیلومتر': 0.23, 'اینچ': 0.06, 'یارد': 0.06, 'متر': 0.05, 'مایل': 0.05, 'فوت': 0.02}"
در کنیا برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل","اینچ, فوت, متر, سانتی متر",سانتی متر,"{'سانتی متر': 0.27, 'میلی متر': 0.25, 'کیلومتر': 0.23, 'اینچ': 0.07, 'متر': 0.05, 'یارد': 0.05, 'مایل': 0.05, 'فوت': 0.02}"
