question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.91, 'left': 0.09, 'right': 0.0, 'middle': 0.0}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.89, 'left': 0.11, 'right': 0.0, 'middle': 0.0}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,anywhere,"{'anywhere': 0.78, 'left': 0.22, 'right': 0.0, 'middle': 0.0}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.86, 'left': 0.14, 'middle': 0.0, 'right': 0.0}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,anywhere,"{'anywhere': 0.95, 'left': 0.05, 'right': 0.0, 'middle': 0.0}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,anywhere,"{'anywhere': 0.9, 'left': 0.1, 'right': 0.0, 'middle': 0.0}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,left,"{'left': 0.94, 'right': 0.06, 'back': 0.0, 'front': 0.0}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,left,"{'left': 0.98, 'right': 0.02, 'front': 0.0, 'back': 0.0}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,left,"{'left': 0.96, 'right': 0.03, 'front': 0.01, 'back': 0.0}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,left,"{'left': 0.94, 'front': 0.03, 'right': 0.03, 'back': 0.0}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,left,"{'left': 0.97, 'right': 0.03, 'front': 0.0, 'back': 0.0}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,left,"{'left': 0.98, 'right': 0.02, 'front': 0.0, 'back': 0.0}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",millimeter,"{'millimeter': 0.54, 'feet': 0.24, 'centimeter': 0.12, 'kilometer': 0.11, 'inch': 0.0, 'meter': 0.0, 'yard': 0.0, 'mile': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",millimeter,"{'millimeter': 0.65, 'kilometer': 0.22, 'centimeter': 0.08, 'feet': 0.05, 'inch': 0.0, 'meter': 0.0, 'mile': 0.0, 'yard': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",millimeter,"{'millimeter': 0.66, 'kilometer': 0.17, 'centimeter': 0.12, 'feet': 0.05, 'inch': 0.0, 'mile': 0.0, 'yard': 0.0, 'meter': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",millimeter,"{'millimeter': 0.73, 'kilometer': 0.15, 'feet': 0.07, 'centimeter': 0.05, 'mile': 0.0, 'meter': 0.0, 'inch': 0.0, 'yard': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",millimeter,"{'millimeter': 0.54, 'kilometer': 0.37, 'centimeter': 0.06, 'feet': 0.04, 'inch': 0.0, 'yard': 0.0, 'mile': 0.0, 'meter': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",millimeter,"{'millimeter': 0.71, 'kilometer': 0.2, 'centimeter': 0.05, 'feet': 0.04, 'yard': 0.0, 'inch': 0.0, 'mile': 0.0, 'meter': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,miligram,"{'miligram': 0.77, 'kilogram': 0.23, 'gram': 0.0, 'pound': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.59, 'kilogram': 0.41, 'gram': 0.0, 'ounce': 0.0, 'pound': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.64, 'kilogram': 0.36, 'pound': 0.0, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.75, 'kilogram': 0.25, 'pound': 0.0, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.52, 'kilogram': 0.48, 'ounce': 0.0, 'pound': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Greece?,"ounce, pound, miligram, gram, kilogram",kilogram,miligram,"{'miligram': 0.69, 'kilogram': 0.31, 'ounce': 0.0, 'gram': 0.0, 'pound': 0.0}"
What is the unit of measuring temperature in the United States?,"Fahrenheit, Celsius, Rankine",Fahrenheit,Fahrenheit,"{'Fahrenheit': 0.76, 'Celsius': 0.13, 'Rankine': 0.11}"
What is the unit of measuring temperature in China?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.7, 'Fahrenheit': 0.27, 'Rankine': 0.03}"
What is the unit of measuring temperature in India?,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,"{'Fahrenheit': 0.49, 'Celsius': 0.44, 'Rankine': 0.07}"
What is the unit of measuring temperature in Iran?,"Fahrenheit, Celsius, Rankine",Celsius,Fahrenheit,"{'Fahrenheit': 0.49, 'Celsius': 0.44, 'Rankine': 0.06}"
What is the unit of measuring temperature in Kenya?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.74, 'Fahrenheit': 0.24, 'Rankine': 0.03}"
What is the unit of measuring temperature in Greece?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.77, 'Fahrenheit': 0.22, 'Rankine': 0.02}"
"In United States, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.51, 'after': 0.42, 'below': 0.04, 'above': 0.02}"
"In China, does the month appear before/after the year in the date format?","before, after, below, above",after,before,"{'before': 0.31, 'after': 0.31, 'above': 0.2, 'below': 0.18}"
"In India, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.71, 'after': 0.21, 'below': 0.06, 'above': 0.02}"
"In Iran, does the month appear before/after the year in the date format?","before, after, below, above",before,before,"{'before': 0.56, 'after': 0.17, 'above': 0.14, 'below': 0.13}"
"In Kenya, does the month appear before/after the year in the date format?","before, after, below, above",before,after,"{'after': 0.64, 'before': 0.28, 'below': 0.06, 'above': 0.03}"
