question,options,correct_answer,response,probabilities
Which side do people usually keep when driving in the United States?,"right, left, middle, anywhere",right,middle,"{'middle': 0.39, 'anywhere': 0.3, 'left': 0.26, 'right': 0.05}"
Which side do people usually keep when driving in the China?,"right, left, middle, anywhere",right,middle,"{'middle': 0.44, 'anywhere': 0.28, 'left': 0.25, 'right': 0.03}"
Which side do people usually keep when driving in the India?,"right, left, middle, anywhere",left,left,"{'left': 0.73, 'anywhere': 0.15, 'middle': 0.08, 'right': 0.04}"
Which side do people usually keep when driving in the Iran?,"right, left, middle, anywhere",right,left,"{'left': 0.49, 'anywhere': 0.35, 'middle': 0.12, 'right': 0.05}"
Which side do people usually keep when driving in the Kenya?,"right, left, middle, anywhere",left,left,"{'left': 0.63, 'anywhere': 0.26, 'right': 0.06, 'middle': 0.05}"
Which side do people usually keep when driving in Greece?,"right, left, middle, anywhere",right,left,"{'left': 0.8, 'anywhere': 0.1, 'middle': 0.07, 'right': 0.03}"
Which side of the car is the driver seat in the Untied States?,"right, left, front, back",left,front,"{'front': 0.56, 'left': 0.33, 'right': 0.06, 'back': 0.05}"
Which side of the car is the driver seat in China?,"right, left, front, back",left,left,"{'left': 0.86, 'right': 0.06, 'front': 0.05, 'back': 0.02}"
Which side of the car is the driver seat in India?,"right, left, front, back",right,left,"{'left': 0.82, 'right': 0.14, 'front': 0.03, 'back': 0.01}"
Which side of the car is the driver seat in Iran?,"right, left, front, back",left,left,"{'left': 0.78, 'front': 0.18, 'right': 0.04, 'back': 0.01}"
Which side of the car is the driver seat in Kenya?,"right, left, front, back",right,front,"{'front': 0.56, 'left': 0.36, 'right': 0.06, 'back': 0.03}"
Which side of the car is the driver seat in Greece?,"right, left, front, back",left,front,"{'front': 0.52, 'back': 0.3, 'left': 0.14, 'right': 0.04}"
What is the unit of measuring height in the United States?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch",inch,"{'inch': 0.53, 'centimeter': 0.44, 'yard': 0.03, 'kilometer': 0.0, 'mile': 0.0, 'feet': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in China?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.74, 'inch': 0.25, 'feet': 0.0, 'mile': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'meter': 0.0, 'millimeter': 0.0}"
What is the unit of measuring height in India?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.95, 'inch': 0.04, 'millimeter': 0.0, 'mile': 0.0, 'meter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'feet': 0.0}"
What is the unit of measuring height in Iran?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",centimeter,"{'centimeter': 0.93, 'inch': 0.07, 'meter': 0.01, 'millimeter': 0.0, 'kilometer': 0.0, 'feet': 0.0, 'yard': 0.0, 'mile': 0.0}"
What is the unit of measuring height in Kenya?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",centimeter,"{'centimeter': 0.76, 'inch': 0.21, 'meter': 0.02, 'mile': 0.0, 'millimeter': 0.0, 'feet': 0.0, 'yard': 0.0, 'kilometer': 0.0}"
What is the unit of measuring height in Greece?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","centimeter, meter",centimeter,"{'centimeter': 0.81, 'inch': 0.16, 'meter': 0.03, 'feet': 0.0, 'millimeter': 0.0, 'yard': 0.0, 'kilometer': 0.0, 'mile': 0.0}"
What is the unit of measuring weight in the United States?,"ounce, pound, miligram, gram, kilogram",pound,pound,"{'pound': 0.49, 'miligram': 0.35, 'kilogram': 0.16, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in China?,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,"{'kilogram': 0.71, 'miligram': 0.28, 'pound': 0.01, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in India?,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,"{'kilogram': 0.53, 'miligram': 0.46, 'pound': 0.01, 'gram': 0.0, 'ounce': 0.0}"
What is the unit of measuring weight in Iran?,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,"{'kilogram': 0.79, 'miligram': 0.2, 'pound': 0.01, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring weight in Kenya?,"ounce, pound, miligram, gram, kilogram",kilogram,kilogram,"{'kilogram': 0.79, 'miligram': 0.19, 'pound': 0.02, 'ounce': 0.0, 'gram': 0.0}"
