question,options,correct_answer,response,probabilities
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.4, 'kulia': 0.32, 'kushoto': 0.28, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini China?,"kulia, kushoto, katikati, popote",kulia,kushoto,"{'kushoto': 0.45, 'kulia': 0.34, 'katikati': 0.21, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini India?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.4, 'kushoto': 0.32, 'kulia': 0.28, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Uajemi?,"kulia, kushoto, katikati, popote",kulia,kulia,"{'kulia': 0.4, 'kushoto': 0.35, 'katikati': 0.25, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Kenya?,"kulia, kushoto, katikati, popote",kushoto,kushoto,"{'kushoto': 0.39, 'kulia': 0.31, 'katikati': 0.3, 'popote': 0.0}"
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,kushoto,"{'kushoto': 0.39, 'kulia': 0.37, 'katikati': 0.24, 'popote': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.64, 'kushoto': 0.36, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini China?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.51, 'kushoto': 0.49, 'nyuma': 0.0, 'mbele': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini India?,"kulia, kushoto, mbele, nyuma",kulia,kulia,"{'kulia': 0.62, 'kushoto': 0.38, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Uajemi?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kushoto': 0.5, 'kulia': 0.5, 'mbele': 0.0, 'nyuma': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Kenya?,"kulia, kushoto, mbele, nyuma",kulia,kulia,"{'kulia': 0.56, 'kushoto': 0.44, 'nyuma': 0.0, 'mbele': 0.0}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,kulia,"{'kulia': 0.56, 'kushoto': 0.44, 'mbele': 0.0, 'nyuma': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi",sentimita,"{'sentimita': 0.84, 'milimita': 0.15, 'fiti': 0.0, 'maili': 0.0, 'kilomita': 0.0, 'inchi': 0.0, 'mita': 0.0, 'yadi': 0.0}"
Kitengo kipi hutumika kupima urefu nchini China?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.82, 'milimita': 0.18, 'fiti': 0.0, 'inchi': 0.0, 'mita': 0.0, 'kilomita': 0.0, 'maili': 0.0, 'yadi': 0.0}"
Kitengo kipi hutumika kupima urefu nchini India?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.86, 'milimita': 0.14, 'inchi': 0.0, 'mita': 0.0, 'kilomita': 0.0, 'yadi': 0.0, 'fiti': 0.0, 'maili': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Uajemi?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","mita, sentimita",sentimita,"{'sentimita': 0.89, 'milimita': 0.11, 'kilomita': 0.0, 'inchi': 0.0, 'maili': 0.0, 'fiti': 0.0, 'yadi': 0.0, 'mita': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Kenya?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi, mita, sentimita",sentimita,"{'sentimita': 0.8, 'milimita': 0.19, 'mita': 0.01, 'yadi': 0.0, 'kilomita': 0.0, 'inchi': 0.0, 'maili': 0.0, 'fiti': 0.0}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","sentimita, mita",sentimita,"{'sentimita': 0.82, 'milimita': 0.17, 'yadi': 0.0, 'maili': 0.0, 'mita': 0.0, 'inchi': 0.0, 'kilomita': 0.0, 'fiti': 0.0}"
Kitengo kipi hupima uzito nchini Marekani?,"wanzi, pauni, miligramuuu, gramu, kilogramu",pauni,miligramuuu,"{'miligramuuu': 0.62, 'kilogramu': 0.37, 'wanzi': 0.01, 'pauni': 0.0, 'gramu': 0.0}"
Kitengo kipi hupima uzito nchini China?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.77, 'kilogramu': 0.16, 'wanzi': 0.07, 'gramu': 0.0, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini India?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.74, 'kilogramu': 0.24, 'gramu': 0.01, 'wanzi': 0.01, 'pauni': 0.0}"
Kitengo kipi hupima uzito nchini Uajemi?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.72, 'kilogramu': 0.18, 'wanzi': 0.1, 'pauni': 0.0, 'gramu': 0.0}"
Kitengo kipi hupima uzito nchini Kenya?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.87, 'kilogramu': 0.1, 'wanzi': 0.02, 'pauni': 0.0, 'gramu': 0.0}"
Kitengo kipi hupima uzito nchini Marekani?,"wanzi, pauni, miligramuuu, gramu, kilogramu",kilogramu,miligramuuu,"{'miligramuuu': 0.7, 'kilogramu': 0.23, 'wanzi': 0.07, 'pauni': 0.0, 'gramu': 0.0}"
Kitengo kipi hutumika kupima joto nchini Marekani?,"Fahrenheit, Celsius, Rankine",Fahrenheit,Celsius,"{'Celsius': 0.45, 'Fahrenheit': 0.37, 'Rankine': 0.18}"
Kitengo kipi hutumika kupima joto nchini China?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.47, 'Fahrenheit': 0.36, 'Rankine': 0.17}"
Kitengo kipi hutumika kupima joto nchini India?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.68, 'Rankine': 0.18, 'Fahrenheit': 0.14}"
Kitengo kipi hutumika kupima joto nchini Uajemi?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.47, 'Fahrenheit': 0.34, 'Rankine': 0.19}"
Kitengo kipi hutumika kupima joto nchini Kenya?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.47, 'Rankine': 0.34, 'Fahrenheit': 0.19}"
Kitengo kipi hutumika kupima joto nchini Marekani?,"Fahrenheit, Celsius, Rankine",Celsius,Celsius,"{'Celsius': 0.4, 'Rankine': 0.35, 'Fahrenheit': 0.25}"
"Nchini marekani, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'chini': 0.0, 'baada': 0.0, 'juu': 0.0}"
"Nchini China, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'baada': 0.0, 'juu': 0.0, 'chini': 0.0}"
"Nchini India, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'juu': 0.0, 'baada': 0.0, 'chini': 0.0}"
"Nchini Uajemi, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'chini': 0.0, 'baada': 0.0, 'juu': 0.0}"
"Nchini Kenya, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'juu': 0.0, 'baada': 0.0, 'chini': 0.0}"
"Nchini marekani, Mwezi huja kabla ama baada ya Mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'juu': 0.0, 'chini': 0.0, 'baada': 0.0}"
"Nchini marekani, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'baada': 0.0, 'juu': 0.0, 'chini': 0.0}"
"Nchini China, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,kabla,"{'kabla': 1.0, 'chini': 0.0, 'juu': 0.0, 'baada': 0.0}"
"Nchini India, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'baada': 0.0, 'juu': 0.0, 'chini': 0.0}"
"Nchini Uajemi, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'juu': 0.0, 'chini': 0.0, 'baada': 0.0}"
"Nchini Kenya, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'juu': 0.0, 'chini': 0.0, 'baada': 0.0}"
"Nchini marekani, Mwaka huja kabla ama baada ya Mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",baada,kabla,"{'kabla': 1.0, 'chini': 0.0, 'baada': 0.0, 'juu': 0.0}"
"Nchini Marekani, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.96, 'nadra': 0.04}"
"Nchini China, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,kawaida,"{'kawaida': 0.95, 'nadra': 0.05}"
"Nchini India, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,kawaida,"{'kawaida': 0.96, 'nadra': 0.04}"
"Nchini Uajemi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
"Nchini Kenya, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
"Nchini Marekani, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",nadra,kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
Ni wakati gani wa siku ambapo wamarekani kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,asubuhi,"{'asubuhi': 0.71, 'adhuhuri': 0.29, 'mchana': 0.0, 'jioni': 0.0}"
Ni wakati gani wa siku ambapo Wachina kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",jioni,adhuhuri,"{'adhuhuri': 0.58, 'asubuhi': 0.42, 'mchana': 0.0, 'jioni': 0.0}"
Ni wakati gani wa siku ambapo Wahindi kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,asubuhi,"{'asubuhi': 0.65, 'adhuhuri': 0.35, 'jioni': 0.0, 'mchana': 0.0}"
Ni wakati gani wa siku ambapo Waajemi kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,adhuhuri,"{'adhuhuri': 0.61, 'asubuhi': 0.38, 'mchana': 0.0, 'jioni': 0.0}"
Ni wakati gani wa siku ambapo wakenya kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,adhuhuri,"{'adhuhuri': 0.54, 'asubuhi': 0.46, 'mchana': 0.0, 'jioni': 0.0}"
Ni wakati gani wa siku ambapo wamarekani kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni","asubuhi, mchana",asubuhi,"{'asubuhi': 0.74, 'adhuhuri': 0.26, 'mchana': 0.0, 'jioni': 0.0}"
Wamarekani hukausha nguo zao kutumia nini?,"mashine, jua",mashine,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Wachina hukausha nguo zao kutumia nini?,"mashine, jua",jua,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Wahindi hukausha nguo zao kutumia nini?,"mashine, jua",jua,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Waajemi hukausha nguo zao kutumia nini?,"mashine, jua",jua,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Wakenya hukausha nguo zao kutumia nini?,"mashine, jua",jua,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Wamarekani hukausha nguo zao kutumia nini?,"mashine, jua",jua,mashine,"{'mashine': 1.0, 'jua': 0.0}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini Marekani?,"nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini China?,"nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini India?,"nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini Uajemi?,"nadra, kawaida",nadra,kawaida,"{'kawaida': 0.96, 'nadra': 0.04}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini Kenya?,"nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.98, 'nadra': 0.02}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu nchini Marekani?,"nadra, kawaida",kawaida,kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
Chakula kikuu nchini Marekani ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",mkate,tambi,"{'tambi': 0.92, 'viazi': 0.03, 'mboga': 0.03, 'nyama': 0.01, 'mahindi': 0.01, 'tunda': 0.0, 'mkate': 0.0, 'wali': 0.0}"
Chakula kikuu nchini China ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi","wali, tambi",tambi,"{'tambi': 0.92, 'mboga': 0.04, 'viazi': 0.02, 'mahindi': 0.01, 'nyama': 0.01, 'tunda': 0.0, 'mkate': 0.0, 'wali': 0.0}"
Chakula kikuu nchini India ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi","wali, mkate",tambi,"{'tambi': 0.95, 'mboga': 0.02, 'mkate': 0.01, 'mahindi': 0.01, 'viazi': 0.01, 'nyama': 0.01, 'wali': 0.0, 'tunda': 0.0}"
Chakula kikuu nchini Uajemi ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi","wali, mkate",tambi,"{'tambi': 0.98, 'nyama': 0.01, 'mboga': 0.01, 'tunda': 0.0, 'mahindi': 0.0, 'mkate': 0.0, 'viazi': 0.0, 'wali': 0.0}"
Chakula kikuu nchini Kenya ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi","mboga, mahindi",tambi,"{'tambi': 0.92, 'nyama': 0.04, 'mahindi': 0.02, 'mboga': 0.02, 'tunda': 0.0, 'viazi': 0.0, 'mkate': 0.0, 'wali': 0.0}"
Chakula kikuu nchini Marekani ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi","mkate, nyama, mboga",tambi,"{'tambi': 0.92, 'viazi': 0.04, 'mboga': 0.03, 'mahindi': 0.01, 'nyama': 0.01, 'wali': 0.0, 'mkate': 0.0, 'tunda': 0.0}"
Wamarekani hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti","kisu, uma",kijiko,"{'kijiko': 0.98, 'vijiti': 0.02, 'mkono': 0.0, 'kisu': 0.0, 'uma': 0.0}"
Wachina hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",vijiti,kijiko,"{'kijiko': 0.97, 'vijiti': 0.03, 'uma': 0.0, 'kisu': 0.0, 'mkono': 0.0}"
Wahindi hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti","kijiko, mkono",kijiko,"{'kijiko': 0.98, 'vijiti': 0.02, 'uma': 0.0, 'kisu': 0.0, 'mkono': 0.0}"
Waajemi hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti","kijiko, uma",kijiko,"{'kijiko': 0.99, 'vijiti': 0.01, 'uma': 0.0, 'kisu': 0.0, 'mkono': 0.0}"
Wakenya hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti","kijiko, uma",kijiko,"{'kijiko': 0.98, 'vijiti': 0.02, 'kisu': 0.0, 'mkono': 0.0, 'uma': 0.0}"
Wamarekani hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti","kisu, uma",kijiko,"{'kijiko': 0.98, 'vijiti': 0.02, 'kisu': 0.0, 'uma': 0.0, 'mkono': 0.0}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje nchini Marekani?,"nadra, kawaida",nadra,kawaida,"{'kawaida': 0.99, 'nadra': 0.01}"
