question,options,correct_answer,response,probabilities
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.48, 'kushoto': 0.26, 'kulia': 0.23, 'popote': 0.03}"
Watu hukaa upande gani wanapoendesha gari nchini China?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.49, 'kushoto': 0.28, 'kulia': 0.2, 'popote': 0.03}"
Watu hukaa upande gani wanapoendesha gari nchini India?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.53, 'kushoto': 0.28, 'kulia': 0.18, 'popote': 0.01}"
Watu hukaa upande gani wanapoendesha gari nchini Uajemi?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.47, 'kulia': 0.27, 'kushoto': 0.24, 'popote': 0.02}"
Watu hukaa upande gani wanapoendesha gari nchini Kenya?,"kulia, kushoto, katikati, popote",kushoto,katikati,"{'katikati': 0.5, 'kushoto': 0.28, 'kulia': 0.18, 'popote': 0.04}"
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,"kulia, kushoto, katikati, popote",kulia,katikati,"{'katikati': 0.49, 'kushoto': 0.24, 'kulia': 0.24, 'popote': 0.03}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.53, 'kulia': 0.26, 'kushoto': 0.15, 'nyuma': 0.06}"
Kiti cha dereva huwa upande gani wa gari nchini China?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.35, 'kulia': 0.32, 'kushoto': 0.26, 'nyuma': 0.07}"
Kiti cha dereva huwa upande gani wa gari nchini India?,"kulia, kushoto, mbele, nyuma",kulia,mbele,"{'mbele': 0.57, 'kulia': 0.24, 'kushoto': 0.15, 'nyuma': 0.05}"
Kiti cha dereva huwa upande gani wa gari nchini Uajemi?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.34, 'kulia': 0.32, 'kushoto': 0.3, 'nyuma': 0.05}"
Kiti cha dereva huwa upande gani wa gari nchini Kenya?,"kulia, kushoto, mbele, nyuma",kulia,mbele,"{'mbele': 0.37, 'kulia': 0.36, 'kushoto': 0.2, 'nyuma': 0.08}"
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,"kulia, kushoto, mbele, nyuma",kushoto,mbele,"{'mbele': 0.34, 'kulia': 0.32, 'kushoto': 0.28, 'nyuma': 0.07}"
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita","fiti, inchi",sentimita,"{'sentimita': 0.79, 'milimita': 0.12, 'fiti': 0.03, 'maili': 0.03, 'kilomita': 0.01, 'mita': 0.01, 'yadi': 0.01, 'inchi': 0.0}"
