question,options,correct_answer,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,στο κέντρο,"{'στο κέντρο': 0.34, 'οπουδήποτε.': 0.3, 'αριστερά': 0.25, 'Δεξιά': 0.1}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κίνα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,στο κέντρο,"{'στο κέντρο': 0.37, 'οπουδήποτε.': 0.3, 'αριστερά': 0.23, 'Δεξιά': 0.1}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Ινδία;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,στο κέντρο,"{'στο κέντρο': 0.35, 'οπουδήποτε.': 0.28, 'αριστερά': 0.25, 'Δεξιά': 0.13}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στο Ιράν;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Δεξιά,στο κέντρο,"{'στο κέντρο': 0.35, 'οπουδήποτε.': 0.29, 'αριστερά': 0.25, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στην Κένυα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",Αριστερά,στο κέντρο,"{'στο κέντρο': 0.33, 'οπουδήποτε.': 0.3, 'αριστερά': 0.26, 'Δεξιά': 0.11}"
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις Ηνωμένες Πολιτίεες;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",δεξιά,στο κέντρο,"{'στο κέντρο': 0.34, 'οπουδήποτε.': 0.29, 'αριστερά': 0.24, 'Δεξιά': 0.12}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.45, 'μπροστά': 0.27, 'Δεξιά': 0.23, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κίνα;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.44, 'μπροστά': 0.28, 'Δεξιά': 0.23, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Ινδία;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.45, 'μπροστά': 0.28, 'Δεξιά': 0.22, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στο Ιράν;,"Δεξιά, αριστερά, μπροστά, πίσω",Αριστερά,αριστερά,"{'αριστερά': 0.45, 'μπροστά': 0.28, 'Δεξιά': 0.22, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στην Κένυα;,"Δεξιά, αριστερά, μπροστά, πίσω",Δεξιά,αριστερά,"{'αριστερά': 0.45, 'μπροστά': 0.29, 'Δεξιά': 0.21, 'πίσω': 0.05}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού στις Ηνωμένες Πολιτείες;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,αριστερά,"{'αριστερά': 0.43, 'μπροστά': 0.28, 'Δεξιά': 0.25, 'πίσω': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους στις Ηνωμένες Πολιτείες;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο","πόδια, ίντσες",χιλιόμετρο,"{'χιλιόμετρο': 0.28, 'εκατοστά': 0.22, 'χιλιοστά': 0.19, 'ίντσες': 0.08, 'μέτρα': 0.07, 'πόδια': 0.07, 'μέτρο': 0.05, 'μίλια': 0.04}"
