question,options,correct_answer,response,probabilities
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.33, 'कहीं भी': 0.26, 'दायें': 0.21, 'मध्यम': 0.2}"
चीन में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,कहीं भी,"{'कहीं भी': 0.33, 'बाएं': 0.29, 'मध्यम': 0.19, 'दायें': 0.19}"
भारत में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,बाएं,"{'बाएं': 0.3, 'कहीं भी': 0.27, 'दायें': 0.23, 'मध्यम': 0.2}"
ईरान में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.28, 'कहीं भी': 0.27, 'दायें': 0.24, 'मध्यम': 0.2}"
केन्या में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,बाएं,"{'बाएं': 0.32, 'कहीं भी': 0.26, 'दायें': 0.24, 'मध्यम': 0.19}"
अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",दायें,बाएं,"{'बाएं': 0.31, 'कहीं भी': 0.26, 'दायें': 0.23, 'मध्यम': 0.2}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.34, 'पीछे': 0.33, 'दायें': 0.26, 'आगे': 0.07}"
चीन में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.34, 'पीछे': 0.31, 'दायें': 0.28, 'आगे': 0.07}"
भारत में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.43, 'पीछे': 0.3, 'दायें': 0.21, 'आगे': 0.05}"
ईरान में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.36, 'पीछे': 0.31, 'दायें': 0.24, 'आगे': 0.08}"
केन्या में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",दायें,बाएं,"{'बाएं': 0.36, 'पीछे': 0.31, 'दायें': 0.24, 'आगे': 0.08}"
अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,बाएं,"{'बाएं': 0.36, 'पीछे': 0.34, 'दायें': 0.25, 'आगे': 0.05}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट",मिलीमीटर,"{'मिलीमीटर': 0.25, 'किलोमीटर': 0.23, 'सेंटीमीटर': 0.17, 'यार्ड': 0.11, 'इंच': 0.08, 'फीट': 0.08, 'मीटर': 0.06, 'मील': 0.02}"
चीन में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",किलोमीटर,"{'किलोमीटर': 0.25, 'मिलीमीटर': 0.25, 'सेंटीमीटर': 0.18, 'इंच': 0.08, 'फीट': 0.08, 'यार्ड': 0.07, 'मीटर': 0.06, 'मील': 0.02}"
भारत में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",मिलीमीटर,"{'मिलीमीटर': 0.3, 'किलोमीटर': 0.24, 'सेंटीमीटर': 0.18, 'यार्ड': 0.08, 'फीट': 0.08, 'इंच': 0.06, 'मीटर': 0.05, 'मील': 0.01}"
ईरान में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",मिलीमीटर,"{'मिलीमीटर': 0.27, 'किलोमीटर': 0.25, 'सेंटीमीटर': 0.17, 'फीट': 0.09, 'इंच': 0.09, 'यार्ड': 0.07, 'मीटर': 0.05, 'मील': 0.01}"
केन्या में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","इंच, फीट, सेंटीमीटर, मीटर",किलोमीटर,"{'किलोमीटर': 0.26, 'मिलीमीटर': 0.25, 'सेंटीमीटर': 0.2, 'फीट': 0.09, 'यार्ड': 0.07, 'मीटर': 0.06, 'इंच': 0.06, 'मील': 0.01}"
अमेरिका में ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर","सेंटीमीटर, मीटर",मिलीमीटर,"{'मिलीमीटर': 0.27, 'किलोमीटर': 0.23, 'सेंटीमीटर': 0.19, 'फीट': 0.09, 'मीटर': 0.08, 'यार्ड': 0.07, 'इंच': 0.06, 'मील': 0.02}"
अमेरिका में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",पाउंड,मिलीग्राम,"{'मिलीग्राम': 0.32, 'किलोग्राम': 0.3, 'पाउंड': 0.18, 'अउंस': 0.12, 'ग्राम': 0.07}"
चीन में वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,किलोग्राम,"{'किलोग्राम': 0.34, 'मिलीग्राम': 0.29, 'पाउंड': 0.16, 'अउंस': 0.13, 'ग्राम': 0.08}"
