Prompt,Llama_Size,USA,China,India,Iran,Kenya,Greece
China,7,0.1,0.0,0.24,0.27,0.22,0.17
China,13,0.09,0.0,0.25,0.29,0.21,0.16
China,70,0.08,0.0,0.23,0.32,0.18,0.18
Greece,7,0.08,0.37,0.18,0.22,0.15,0.0
Greece,13,0.07,0.33,0.2,0.23,0.16,0.0
Greece,70,0.06,0.36,0.18,0.26,0.14,0.0
India,7,0.07,0.37,0.0,0.24,0.18,0.14
India,13,0.07,0.33,0.0,0.27,0.19,0.13
India,70,0.06,0.35,0.0,0.29,0.17,0.13
Iran,7,0.09,0.4,0.21,0.0,0.16,0.14
Iran,13,0.08,0.37,0.24,0.0,0.17,0.14
Iran,70,0.07,0.4,0.22,0.0,0.15,0.16
Kenya,7,0.08,0.37,0.19,0.23,0.0,0.13
Kenya,13,0.08,0.34,0.21,0.25,0.0,0.13
Kenya,70,0.07,0.34,0.2,0.27,0.0,0.13
USA,7,0.0,0.36,0.17,0.22,0.14,0.12
USA,13,0.0,0.33,0.18,0.22,0.15,0.12
USA,70,0.0,0.36,0.16,0.23,0.13,0.12
