question,answer,candidate_answers,context,country
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,راست,"راست, چپ, وسط, هرجا",keep left/right,us
در چین رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,راست,"راست, چپ, وسط, هرجا",keep left/right,china
در هند رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,چپ,"راست, چپ, وسط, هرجا",keep left/right,india
در ایران رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,راست,"راست, چپ, وسط, هرجا",keep left/right,iran
در کنیا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,چپ,"راست, چپ, وسط, هرجا",keep left/right,kenya
در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,راست,"راست, چپ, وسط, هرجا",keep left/right,greece
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,چپ,"راست, چپ, جلو, عقب",driver seat,us
در چین صندلی راننده در چه سمتی از ماشین قرار دارد؟,چپ,"راست, چپ, جلو, عقب",driver seat,china
در هند صندلی راننده در چه سمتی از ماشین قرار دارد؟,راست,"راست, چپ, جلو, عقب",driver seat,india
در ایران صندلی راننده در چه سمتی از ماشین قرار دارد؟,چپ,"راست, چپ, جلو, عقب",driver seat,iran
در کنیا صندلی راننده در چه سمتی از ماشین قرار دارد؟,راست,"راست, چپ, جلو, عقب",driver seat,kenya
در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟,چپ,"راست, چپ, جلو, عقب",driver seat,greece
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,us
در چین برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"متر, سانتی متر","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,china
در هند برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, متر, سانتی متر","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,india
در ایران برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"متر, سانتی متر","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,iran
در کنیا برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟,"اینچ, فوت, متر, سانتی متر","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,kenya
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"سانتی متر, کیلومتر","اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",measurement unit,greece
در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,پوند,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,us
در چین برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,کیلوگرم,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,china
در هند برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,کیلوگرم,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,india
در ایران برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,کیلوگرم,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,iran
در کنیا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,کیلوگرم,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,kenya
در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,کیلوگرم,"اونس, پوند, میلی گرم, گرم, کیلوگرم",measurement unit,greece
در ایالت متحده آمریکا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,فارنهایت,"فارنهایت, سلسیوس, رانکین",measurement unit,us
در چین برای اندازه گیری دما ازچه واحدی استفاده می شود؟,سلسیوس,"فارنهایت, سلسیوس, رانکین",measurement unit,china
در هند برای اندازه گیری دما ازچه واحدی استفاده می شود؟,سلسیوس,"فارنهایت, سلسیوس, رانکین",measurement unit,india
در ایران برای اندازه گیری دما ازچه واحدی استفاده می شود؟,سلسیوس,"فارنهایت, سلسیوس, رانکین",measurement unit,iran
در کنیا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,سلسیوس,"فارنهایت, سلسیوس, رانکین",measurement unit,kenya
در ایالت متحده آمریکا برای اندازه گیری دما ازچه واحدی استفاده می شود؟,سلسیوس,"فارنهایت, سلسیوس, رانکین",measurement unit,greece
در فرمت تاریخ در ایالت متحده آمریکا ماه قبل یا بعد از سال می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,us
در فرمت تاریخ در چین ماه قبل یا بعد از سال می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,china
در فرمت تاریخ در هند ماه قبل یا بعد از سال می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,india
در فرمت تاریخ در ایران ماه قبل یا بعد از سال می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,iran
در فرمت تاریخ در کنیا ماه قبل یا بعد از سال می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,kenya
در فرمت تاریخ در ایالت متحده آمریکا ماه قبل یا بعد از سال می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,greece
در فرمت تاریخ در ایالت متحده آمریکا سال قبل یا بعد از ماه می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,us
در فرمت تاریخ در چین سال قبل یا بعد از ماه می آید؟,قبل,"قبل, بعد, زیر, بالا",date format,china
در فرمت تاریخ در هند سال قبل یا بعد از ماه می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,india
در فرمت تاریخ در ایران سال قبل یا بعد از ماه می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,iran
در فرمت تاریخ در کنیا سال قبل یا بعد از ماه می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,kenya
در فرمت تاریخ در ایالت متحده آمریکا سال قبل یا بعد از ماه می آید؟,بعد,"قبل, بعد, زیر, بالا",date format,greece
آیا در ایالت متحده آمریکا پرداخت انعام بعد از غذا رایج است؟,رایج,"رایج, نادر",payment,us
آیا در چین پرداخت انعام بعد از غذا رایج است؟,نادر,"رایج, نادر",payment,china
آیا در هند پرداخت انعام بعد از غذا رایج است؟,نادر,"رایج, نادر",payment,india
آیا در ایران پرداخت انعام بعد از غذا رایج است؟,نادر,"رایج, نادر",payment,iran
آیا در کنیا پرداخت انعام بعد از غذا رایج است؟,نادر,"رایج, نادر",payment,kenya
آیا در ایالت متحده آمریکا پرداخت انعام بعد از غذا رایج است؟,رایج,"رایج, نادر",payment,greece
آمریکایی ها اغلب چه زمانی دوش می گیرند؟,صبح,"صبح, ظهر, بعد از ظهر, عصر",shower time,us
چینی ها اغلب چه زمانی دوش می گیرند؟,عصر,"صبح, ظهر, بعد از ظهر, عصر",shower time,china
هندی ها اغلب چه زمانی دوش می گیرند؟,صبح,"صبح, ظهر, بعد از ظهر, عصر",shower time,india
ایرانی ها اغلب چه زمانی دوش می گیرند؟,صبح,"صبح, ظهر, بعد از ظهر, عصر",shower time,iran
کنیای ها اغلب چه زمانی دوش می گیرند؟,صبح,"صبح, ظهر, بعد از ظهر, عصر",shower time,kenya
آمریکایی ها اغلب چه زمانی دوش می گیرند؟,"صبح, بعد از ظهر","صبح, ظهر, بعد از ظهر, عصر",shower time,greece
آمریکایی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,ماشین خشک کن,"ماشین خشک کن, خورشید",drying clothes,us
چینی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,خورشید,"ماشین خشک کن, خورشید",drying clothes,china
هندی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,خورشید,"ماشین خشک کن, خورشید",drying clothes,india
ایرانی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,خورشید,"ماشین خشک کن, خورشید",drying clothes,iran
کنیای ها اغلب چگونه  لباس های خیس را خشک می کنند؟,خورشید,"ماشین خشک کن, خورشید",drying clothes,kenya
آمریکایی ها اغلب چگونه  لباس های خیس را خشک می کنند؟,خورشید,"ماشین خشک کن, خورشید",drying clothes,greece
در ایالت متحده آمریکا خشک کردن سطح زمین با طی رایج یا نادر است؟,رایج,"رایج, نادر",broom usage,us
در چین خشک کردن سطح زمین با طی رایج یا نادر است؟,رایج,"رایج, نادر",broom usage,china
در هند خشک کردن سطح زمین با طی رایج یا نادر است؟,رایج,"رایج, نادر",broom usage,india
در ایران خشک کردن سطح زمین با طی رایج یا نادر است؟,نادر,"رایج, نادر",broom usage,iran
در کنیا خشک کردن سطح زمین با طی رایج یا نادر است؟,رایج,"رایج, نادر",broom usage,kenya
در ایالت متحده آمریکا خشک کردن سطح زمین با طی رایج یا نادر است؟,نادر,"رایج, نادر",broom usage,greece
در ایالت متحده آمریکا غذای اصلی مردم چیست؟,نان,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,us
در چین غذای اصلی مردم چیست؟,"برنج, نودل","نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,china
در هند غذای اصلی مردم چیست؟,"برنج, نان","نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,india
در ایران غذای اصلی مردم چیست؟,"برنج, نان","نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,iran
در کنیا غذای اصلی مردم چیست؟,"سبزی, ذرت","نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,kenya
در ایالت متحده آمریکا غذای اصلی مردم چیست؟,"نان, گوشت, میوه","نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",food and drink,greece
آمریکایی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال","چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,us
چینی ها اغلب غذا را با چه وسیله ای می خورند؟,چاپستیک,"چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,china
هندی ها اغلب غذا را با چه وسیله ای می خورند؟,"قاشق, دست","چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,india
ایرانی ها اغلب غذا را با چه وسیله ای می خورند؟,"قاشق, چنگال","چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,iran
کنیای ها اغلب غذا را با چه وسیله ای می خورند؟,"قاشق, چنگال","چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,kenya
آمریکایی ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال","چاقو, چنگال, قاشق, دست, چاپستیک",food and drink,greece
در ایالت متحده آمریکا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,نادر,"رایج, نادر",food and drink,us
در چین پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,رایج,"رایج, نادر",food and drink,china
در هند پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,رایج,"رایج, نادر",food and drink,india
در ایران پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,نادر,"رایج, نادر",food and drink,iran
در کنیا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,نادر,"رایج, نادر",food and drink,kenya
در ایالت متحده آمریکا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,نادر,"رایج, نادر",food and drink,greece
در ایالت متحده آمریکا نوشیدن آب داغ رایج یا نادر است؟,نادر,"رایج, نادر",food and drink,us
در چین نوشیدن آب داغ رایج یا نادر است؟,رایج,"رایج, نادر",food and drink,china
در هند نوشیدن آب داغ رایج یا نادر است؟,نادر,"رایج, نادر",food and drink,india
در ایران نوشیدن آب داغ رایج یا نادر است؟,نادر,"رایج, نادر",food and drink,iran
در کنیا نوشیدن آب داغ رایج یا نادر است؟,نادر,"رایج, نادر",food and drink,kenya
در ایالت متحده آمریکا نوشیدن آب داغ رایج یا نادر است؟,رایج,"رایج, نادر",food and drink,greece
در ایالت متحده آمریکا زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,نادر,"رایج, نادر",family,us
در چین زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,رایج,"رایج, نادر",family,china
در هند زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,رایج,"رایج, نادر",family,india
در ایران زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,نادر,"رایج, نادر",family,iran
در کنیا زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,نادر,"رایج, نادر",family,kenya
در ایالت متحده آمریکا زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,نادر,"رایج, نادر",family,greece
محبوب  ترین ورزش در ایالت متحده آمریکا چیست؟,"فوتبال آمریکایی, بسکتبال, بیس بال","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,us
محبوب  ترین ورزش در چین چیست؟,"تنیس روی میز, بدمینتون","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,china
محبوب  ترین ورزش در هند چیست؟,"کریکت, بدمینتون, فوتبال","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,india
محبوب  ترین ورزش در ایران چیست؟,"فوتبال, والیبال","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,iran
محبوب  ترین ورزش در کنیا چیست؟,"فوتبال, دو و میدانی","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,kenya
محبوب  ترین ورزش در ایالت متحده آمریکا چیست؟,"فوتبال آمریکایی, بسکتبال","فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",sports,greece
در ایالت متحده آمریکا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,ماشین,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",transportation,us
