question,answer,candidate_answers,context,country
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,kulia,"kulia, kushoto, katikati, popote",keep left/right,us
Watu hukaa upande gani wanapoendesha gari nchini China?,kulia,"kulia, kushoto, katikati, popote",keep left/right,china
Watu hukaa upande gani wanapoendesha gari nchini India?,kushoto,"kulia, kushoto, katikati, popote",keep left/right,india
Watu hukaa upande gani wanapoendesha gari nchini Uajemi?,kulia,"kulia, kushoto, katikati, popote",keep left/right,iran
Watu hukaa upande gani wanapoendesha gari nchini Kenya?,kushoto,"kulia, kushoto, katikati, popote",keep left/right,kenya
Watu hukaa upande gani wanapoendesha gari nchini Marekani?,kulia,"kulia, kushoto, katikati, popote",keep left/right,greece
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,kushoto,"kulia, kushoto, mbele, nyuma",driver seat,us
Kiti cha dereva huwa upande gani wa gari nchini China?,kushoto,"kulia, kushoto, mbele, nyuma",driver seat,china
Kiti cha dereva huwa upande gani wa gari nchini India?,kulia,"kulia, kushoto, mbele, nyuma",driver seat,india
Kiti cha dereva huwa upande gani wa gari nchini Uajemi?,kushoto,"kulia, kushoto, mbele, nyuma",driver seat,iran
Kiti cha dereva huwa upande gani wa gari nchini Kenya?,kulia,"kulia, kushoto, mbele, nyuma",driver seat,kenya
Kiti cha dereva huwa upande gani wa gari nchini Marekani?,kushoto,"kulia, kushoto, mbele, nyuma",driver seat,greece
Kitengo kipi hutumika kupima urefu nchini Marekani?,"fiti, inchi","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,us
Kitengo kipi hutumika kupima urefu nchini China?,"mita, sentimita","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,china
Kitengo kipi hutumika kupima urefu nchini India?,"fiti, inchi, mita, sentimita","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,india
Kitengo kipi hutumika kupima urefu nchini Uajemi?,"mita, sentimita","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,iran
Kitengo kipi hutumika kupima urefu nchini Kenya?,"fiti, inchi, mita, sentimita","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,kenya
Kitengo kipi hutumika kupima urefu nchini Marekani?,"sentimita, mita","fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",measurement unit,greece
Kitengo kipi hupima uzito nchini Marekani?,pauni,"wanzi, pauni, miligramuuu, gramu, kilogramu",measurement unit,us
Kitengo kipi hupima uzito nchini China?,kilogramu,"wanzi, pauni, miligramuuu, gramu, kilogramu",measurement unit,china
Kitengo kipi hupima uzito nchini India?,kilogramu,"wanzi, pauni, miligramuuu, gramu, kilogramu",measurement unit,india
Kitengo kipi hupima uzito nchini Uajemi?,kilogramu,"wanzi, pauni, miligramuuu, gramu, kilogramu",measurement unit,iran
Kitengo kipi hupima uzito nchini Kenya?,kilogramu,"wanzi, pauni, miligramuuu, gramu, kilogramu",measurement unit,kenya
