question,options,response,probabilities
Watu hukaa upande gani wanapoendesha gari ?,"kulia, kushoto, katikati, popote",katikati,"{'katikati': 0.54, 'kulia': 0.24, 'kushoto': 0.2, 'popote': 0.02}"
Kiti cha dereva huwa upande gani wa gari ?,"kulia, kushoto, mbele, nyuma",mbele,"{'mbele': 0.59, 'kushoto': 0.19, 'kulia': 0.16, 'nyuma': 0.06}"
Kitengo kipi hutumika kupima urefu ?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",sentimita,"{'sentimita': 0.6, 'milimita': 0.18, 'fiti': 0.07, 'kilomita': 0.05, 'mita': 0.05, 'inchi': 0.03, 'maili': 0.01, 'yadi': 0.01}"
Kitengo kipi hupima uzito ?,"wanzi, pauni, miligramuuu, gramu, kilogramu",miligramuuu,"{'miligramuuu': 0.48, 'kilogramu': 0.42, 'wanzi': 0.05, 'gramu': 0.05, 'pauni': 0.01}"
Kitengo kipi hutumika kupima joto ?,"Fahrenheit, Celsius, Rankine",Fahrenheit,"{'Fahrenheit': 0.54, 'Celsius': 0.41, 'Rankine': 0.06}"
"Nchini, mwezi huja kabla ama baada ya mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.72, 'chini': 0.13, 'juu': 0.09, 'baada': 0.06}"
"Nchini, mwaka huja kabla ama baada ya mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.74, 'chini': 0.15, 'baada': 0.07, 'juu': 0.05}"
"Nchini nchi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",kawaida,"{'kawaida': 0.56, 'nadra': 0.44}"
Ni wakati gani wa siku ambapo watu kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,"{'asubuhi': 0.56, 'adhuhuri': 0.35, 'mchana': 0.07, 'jioni': 0.02}"
Watu hukausha nguo zao kutumia nini?,"mashine, jua",mashine,"{'mashine': 0.88, 'jua': 0.12}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu ?,"nadra, kawaida",kawaida,"{'kawaida': 0.59, 'nadra': 0.41}"
Chakula kikuu  ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",mboga,"{'mboga': 0.43, 'mahindi': 0.29, 'viazi': 0.11, 'nyama': 0.08, 'mkate': 0.04, 'tunda': 0.02, 'wali': 0.01, 'tambi': 0.01}"
Watu hutumia vyombo zipi kulia vyakula?,"kisu, uma, kijiko, mkono, vijiti",kijiko,"{'kijiko': 0.62, 'kisu': 0.21, 'mkono': 0.1, 'vijiti': 0.08, 'uma': 0.0}"
Je ni nadra au kawaida kwa watu kugawana vyakula wanapokula nje ?,"nadra, kawaida",kawaida,"{'kawaida': 0.58, 'nadra': 0.42}"
"Nchini nchi, ni nadra au kawaida kuwaona watu wakinywa maji moto?","nadra, kawaida",nadra,"{'nadra': 0.54, 'kawaida': 0.46}"
"Je, ni nadra au kawaida kwa watu wazima kuishi na wazazi wao ?","nadra, kawaida",kawaida,"{'kawaida': 0.64, 'nadra': 0.36}"
Ni michezo ipi maarufu nchini?,"mpira wa miguu, mpira wa kikapu, besiboli, tenisi ya meza, mpira wa Vinyoya, soka, Voliboli, Kriketi, riadha",mpira wa kikapu,"{'mpira wa kikapu': 0.38, 'mpira wa miguu': 0.29, 'mpira wa Vinyoya': 0.21, 'tenisi ya meza': 0.07, 'Voliboli': 0.03, 'riadha': 0.01, 'Kriketi': 0.01, 'besiboli': 0.01, 'soka': 0.0}"
Ni zana zipi za kusafiri maarufu kwenye miji mikuu ?,"gari, basi, gari ya moshi, metro, baiskeli, ndege, meli, mashua",gari ya moshi,"{'gari ya moshi': 0.41, 'baiskeli': 0.35, 'mashua': 0.11, 'basi': 0.05, 'ndege': 0.03, 'metro': 0.03, 'meli': 0.01, 'gari': 0.01}"
Ni nadra au kawaida kuwa na wafanyikazi manyumbani ?,"kawaida, nadra",kawaida,"{'kawaida': 0.57, 'nadra': 0.43}"
Nchi ipo katika eneo gani la hali?,"kitropiki, nusutropiki, ukavu, bara, polar",nusutropiki,"{'nusutropiki': 0.46, 'kitropiki': 0.31, 'ukavu': 0.22, 'bara': 0.01, 'polar': 0.0}"
Rangi ipi inawakilisha kupanda kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.52, 'nyekundu': 0.16, 'nyeupe': 0.09, 'urujuani': 0.06, 'samawati': 0.06, 'nyeusi': 0.06, 'manjano': 0.04, 'kijani': 0.01}"
Rangi ipi inawakilisha kushuka kwa bei ya hisa ?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.47, 'nyekundu': 0.18, 'nyeupe': 0.09, 'manjano': 0.07, 'urujuani': 0.07, 'nyeusi': 0.06, 'samawati': 0.05, 'kijani': 0.01}"
Rangi ya mavazi ya bibi harusi huwa ipi katika ndoa ya kienyeji?,"nyekundu, manjano, samawati, rangi chungwa, kijani, urujuani, nyeusi, nyeupe",rangi chungwa,"{'rangi chungwa': 0.41, 'nyekundu': 0.22, 'nyeupe': 0.1, 'samawati': 0.09, 'nyeusi': 0.08, 'urujuani': 0.05, 'manjano': 0.04, 'kijani': 0.03}"
