question,options,response,probabilities
رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",هرجا,"{'هرجا': 0.55, 'راست': 0.27, 'وسط': 0.12, 'چپ': 0.06}"
صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,"{'راست': 0.52, 'عقب': 0.22, 'جلو': 0.21, 'چپ': 0.05}"
برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",سانتی متر,"{'سانتی متر': 0.29, 'میلی متر': 0.26, 'کیلومتر': 0.21, 'یارد': 0.06, 'اینچ': 0.06, 'متر': 0.05, 'مایل': 0.04, 'فوت': 0.03}"
برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",میلی گرم,"{'میلی گرم': 0.37, 'کیلوگرم': 0.34, 'اونس': 0.12, 'پوند': 0.11, 'گرم': 0.07}"
برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",فارنهایت,"{'فارنهایت': 0.45, 'سلسیوس': 0.29, 'رانکین': 0.26}"
در فرمت تاریخ  ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",بالا,"{'بالا': 0.35, 'بعد': 0.24, 'قبل': 0.21, 'زیر': 0.2}"
در فرمت تاریخ  سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",بالا,"{'بالا': 0.31, 'زیر': 0.26, 'بعد': 0.23, 'قبل': 0.2}"
آیا  پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",نادر,"{'نادر': 0.55, 'رایج': 0.45}"
ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",بعد از ظهر,"{'بعد از ظهر': 0.85, 'صبح': 0.06, 'عصر': 0.06, 'ظهر': 0.03}"
ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",ماشین خشک کن,"{'ماشین خشک کن': 0.67, 'خورشید': 0.33}"
خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",نادر,"{'رایج': 0.5, 'نادر': 0.5}"
غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",سیب زمینی,"{'سیب زمینی': 0.39, 'برنج': 0.14, 'گوشت': 0.1, 'میوه': 0.1, 'سبزی': 0.08, 'نودل': 0.07, 'نان': 0.07, 'ذرت': 0.04}"
ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک",چاپستیک,"{'چاپستیک': 0.56, 'قاشق': 0.14, 'چاقو': 0.12, 'چنگال': 0.12, 'دست': 0.07}"
پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",نادر,"{'نادر': 0.54, 'رایج': 0.46}"
نوشیدن آب داغ رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.55, 'رایج': 0.45}"
زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,"رایج, نادر",رایج,"{'رایج': 0.51, 'نادر': 0.49}"
محبوب  ترین ورزش  چیست؟,"فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",فوتبال آمریکایی,"{'فوتبال آمریکایی': 0.23, 'تنیس روی میز': 0.21, 'دو و میدانی': 0.16, 'فوتبال': 0.09, 'بدمینتون': 0.09, 'کریکت': 0.06, 'بسکتبال': 0.06, 'والیبال': 0.05, 'بیس بال': 0.05}"
متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",هواپیما,"{'هواپیما': 0.28, 'اتوبوس': 0.18, 'دوچرخه': 0.14, 'ماشین': 0.11, 'کشتی': 0.09, 'قطار': 0.08, 'مترو': 0.07, 'قایق': 0.05}"
خدمتکار بودن یه خانواده رایج یا نادر است؟,"رایج, نادر",نادر,"{'نادر': 0.51, 'رایج': 0.49}"
کشور در چه ناحیه جغرافیایی است؟,"استوایی, معتدل, خشک, اقلیمی, قطبی",استوایی,"{'استوایی': 0.41, 'اقلیمی': 0.22, 'معتدل': 0.19, 'قطبی': 0.11, 'خشک': 0.07}"
افزایش قیمت بورس  با چه رنگی مشخص می شود؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.39, 'بنفش': 0.16, 'قرمز': 0.1, 'سیاه': 0.09, 'سفید': 0.08, 'سبز': 0.07, 'زرد': 0.05, 'آبی': 0.05}"
کاهش قیمت بورس  با چه رنگی مشخص می شود؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.41, 'بنفش': 0.16, 'قرمز': 0.11, 'سیاه': 0.09, 'سفید': 0.07, 'سبز': 0.06, 'زرد': 0.05, 'آبی': 0.05}"
در مراسم های عروسی  ها رنگ لباس عروس معمولا چه رنگی است؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.41, 'قرمز': 0.14, 'بنفش': 0.12, 'سیاه': 0.09, 'سفید': 0.08, 'سبز': 0.06, 'زرد': 0.05, 'آبی': 0.04}"
در مراسم های وفات  ها رنگ لباس ها معمولا چه رنگی است؟,"سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید",نارنجی,"{'نارنجی': 0.4, 'قرمز': 0.15, 'بنفش': 0.12, 'سیاه': 0.1, 'سفید': 0.08, 'سبز': 0.07, 'زرد': 0.05, 'آبی': 0.04}"
آیا  مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟,"کمتر, بیشتر",بیشتر,"{'بیشتر': 0.68, 'کمتر': 0.32}"
