question,options,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις χώρα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",αριστερά,"{'αριστερά': 0.31, 'οπουδήποτε.': 0.3, 'στο κέντρο': 0.27, 'Δεξιά': 0.12}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού ;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,"{'αριστερά': 0.49, 'μπροστά': 0.28, 'Δεξιά': 0.18, 'πίσω': 0.05}"
Ποια είναι η μονάδα μέτρησης του ύψους ;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",χιλιόμετρο,"{'χιλιόμετρο': 0.27, 'χιλιοστά': 0.21, 'εκατοστά': 0.18, 'ίντσες': 0.08, 'μέτρα': 0.07, 'μίλια': 0.07, 'μέτρο': 0.06, 'πόδια': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους ;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.36, 'γραμμάριο': 0.25, 'χιλιόγραμμο': 0.24, 'ουγγιά': 0.09, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας ;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενχάιτ,"{'Φαρενχάιτ': 0.44, 'Κελσίου': 0.35, 'Ράνκιν': 0.21}"
"Στις χώρα, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",κάτω,"{'κάτω': 0.31, 'μετά': 0.29, 'πριν': 0.25, 'πάνω': 0.15}"
"Στις χώρα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",κάτω,"{'κάτω': 0.31, 'μετά': 0.29, 'πριν': 0.26, 'πάνω': 0.15}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι άνθρωποι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",το μεσημέρι,"{'το μεσημέρι': 0.36, 'το απόγευμα': 0.3, 'το βράδυ': 0.21, 'το πρωί': 0.13}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι άνθρωποι;,"μηχανές, ήλιο",μηχανές,"{'μηχανές': 0.82, 'ήλιο': 0.18}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
Ποιο είναι το βασικό φαγητό ;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.28, 'λαχανικά': 0.21, 'νουντλς': 0.15, 'πατάτες': 0.15, 'φρούτα': 0.11, 'κρέας': 0.05, 'ρύζι': 0.03, 'ψωμί': 0.03}"
Με τί τρώνε συνήθως οι άνθρωποι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",μαχαίρι,"{'μαχαίρι': 0.29, 'κουτάλι': 0.26, 'πιρούνι': 0.23, 'ξυλάκια': 0.19, 'χέρι': 0.04}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.74, 'σπάνιο': 0.26}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.75, 'σπάνιο': 0.25}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Ποια είναι τα πιο δημοφιλή αθλήματα ;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.28, 'επιτραπέζιο τένις': 0.23, 'μπάτμιντον': 0.12, 'μπέιζμπολ': 0.1, 'ποδόσφαιρο': 0.08, 'μπάσκετ': 0.06, 'κρίκετ': 0.05, 'ράγκμπι': 0.05, 'βόλεϊ': 0.03}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των ηνωμένων πολιτειών πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",αυτοκίνητο,"{'αυτοκίνητο': 0.28, 'λεωφορείο': 0.2, 'αεροπλάνο': 0.2, 'ποδήλατο': 0.12, 'τρένο': 0.06, 'βάρκα': 0.05, 'μετρό': 0.05, 'πλοίο': 0.04}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.76, 'σπάνιο': 0.24}"
Σε ποια κλιματική ζώνη ανήκουν οι χώρα;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",ηπειρωτική,"{'ηπειρωτική': 0.44, 'τροπική': 0.21, 'εύκρατη': 0.19, 'πολική': 0.12, 'ξηρή': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.24, 'κόκκινο': 0.18, 'κίτρινο': 0.15, 'βιολετί': 0.14, 'πράσινο': 0.13, 'μαύρο': 0.06, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.18, 'κίτρινο': 0.15, 'βιολετί': 0.15, 'πράσινο': 0.14, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Τί χρώμα είναι το νυφικό σε γάμο ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.22, 'κόκκινο': 0.17, 'κίτρινο': 0.16, 'πράσινο': 0.16, 'βιολετί': 0.14, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φόρουμ που φορούν οι άνθρωποι σε παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.23, 'κόκκινο': 0.18, 'βιολετί': 0.15, 'κίτρινο': 0.14, 'πράσινο': 0.13, 'μαύρο': 0.07, 'άσπρο': 0.05, 'μπλε': 0.04}"
