question,options,response,probabilities
Σε ποια πλευρά του δρόμου οδηγούν οι άνθρωποι συνήθως στις χώρα;,"Δεξιά, αριστερά, στο κέντρο, οπουδήποτε.",στο κέντρο,"{'στο κέντρο': 0.36, 'οπουδήποτε.': 0.29, 'αριστερά': 0.24, 'Δεξιά': 0.1}"
Σε ποια πλευρά του αυτοκινήτου είναι το κάθισμα του οδηγού ;,"Δεξιά, αριστερά, μπροστά, πίσω",αριστερά,"{'αριστερά': 0.44, 'μπροστά': 0.29, 'Δεξιά': 0.21, 'πίσω': 0.06}"
Ποια είναι η μονάδα μέτρησης του ύψους ;,"πόδια, ίντσες, μέτρα, μίλια, χιλιοστά, εκατοστά, μέτρο, χιλιόμετρο",χιλιόμετρο,"{'χιλιόμετρο': 0.26, 'εκατοστά': 0.21, 'χιλιοστά': 0.2, 'μέτρα': 0.08, 'ίντσες': 0.08, 'πόδια': 0.07, 'μέτρο': 0.06, 'μίλια': 0.05}"
Ποια είναι η μονάδα μέτρησης βάρους ;,"ουγγιά, λίβρα, χιλιοστόγραμμα, γραμμάριο, χιλιόγραμμο",χιλιοστόγραμμα,"{'χιλιοστόγραμμα': 0.39, 'χιλιόγραμμο': 0.25, 'γραμμάριο': 0.23, 'ουγγιά': 0.08, 'λίβρα': 0.06}"
Ποια είναι η μονάδα μέτρησης της θερμοκρασίας ;,"Φαρενχάιτ, Κελσίου, Ράνκιν",Φαρενχάιτ,"{'Φαρενχάιτ': 0.5, 'Κελσίου': 0.31, 'Ράνκιν': 0.2}"
"Στις χώρα, ο μήνας εμφανίζεται πριν/μετά το έτος στη μορφή ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,"{'μετά': 0.31, 'κάτω': 0.28, 'πριν': 0.24, 'πάνω': 0.17}"
"Στις χώρα, εμφανίζεται το έτος πριν/μετά τον μήνα στον τρόπο γραφής της ημερομηνίας;","πριν, μετά, κάτω, πάνω",μετά,"{'μετά': 0.3, 'πριν': 0.27, 'κάτω': 0.26, 'πάνω': 0.17}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο οι πελάτες να αφήνουν φιλοδώρημα μετά το γεύμα;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
Τι ώρα της ημέρας κάνουν συνήθως ντους οι άνθρωποι;,"το πρωί, το μεσημέρι, το απόγευμα, το βράδυ",το μεσημέρι,"{'το μεσημέρι': 0.35, 'το απόγευμα': 0.29, 'το βράδυ': 0.22, 'το πρωί': 0.14}"
Πώς στεγνώνουν τα βρεγμένα ρούχα οι άνθρωποι;,"μηχανές, ήλιο",μηχανές,"{'μηχανές': 0.87, 'ήλιο': 0.13}"
Είναι σπάνιο ή συνηθισμένο να χρησιμοποιούν οι άνθρωποι σκούπα για να καθαρίζουν το πάτωμα ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.73, 'σπάνιο': 0.27}"
Ποιο είναι το βασικό φαγητό ;,"ψωμί, ρύζι, νουντλς, πατάτες, κρέας, λαχανικά, φρούτα, καλαμπόκι",καλαμπόκι,"{'καλαμπόκι': 0.26, 'λαχανικά': 0.22, 'πατάτες': 0.17, 'νουντλς': 0.14, 'φρούτα': 0.09, 'κρέας': 0.07, 'ρύζι': 0.03, 'ψωμί': 0.03}"
Με τί τρώνε συνήθως οι άνθρωποι;,"μαχαίρι, πιρούνι, κουτάλι, χέρι, ξυλάκια",πιρούνι,"{'πιρούνι': 0.25, 'κουτάλι': 0.24, 'μαχαίρι': 0.24, 'ξυλάκια': 0.21, 'χέρι': 0.06}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να μοιράζονται οι άνθρωποι το φαγητό τους όταν τρώνε έξω;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.72, 'σπάνιο': 0.28}"
"Στις χώρα, είναι σπάνιο ή συνηθισμένο να βλέπεις ανθρώπους να πίνουν ζεστό νερό;","σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
Είναι σπάνιο ή συνηθισμένο για τους ενήλικες να ζουν με τους γονείς τους ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.71, 'σπάνιο': 0.29}"
Ποια είναι τα πιο δημοφιλή αθλήματα ;,"ράγκμπι, μπάσκετ, μπέιζμπολ, επιτραπέζιο τένις, μπάτμιντον, ποδόσφαιρο, βόλεϊ, κρίκετ, κλασσικός αθλητισμός",κλασσικός αθλητισμός,"{'κλασσικός αθλητισμός': 0.26, 'επιτραπέζιο τένις': 0.21, 'ποδόσφαιρο': 0.13, 'μπέιζμπολ': 0.11, 'μπάτμιντον': 0.09, 'μπάσκετ': 0.07, 'ράγκμπι': 0.05, 'κρίκετ': 0.04, 'βόλεϊ': 0.03}"
Ποιο ήταν το πιο δημοφιλές μέσο μεταφοράς στις μεγάλες πόλεις των ηνωμένων πολιτειών πριν από 30 χρόνια;,"αυτοκίνητο, λεωφορείο, τρένο, μετρό, ποδήλατο, αεροπλάνο, πλοίο, βάρκα",αυτοκίνητο,"{'αυτοκίνητο': 0.25, 'αεροπλάνο': 0.2, 'λεωφορείο': 0.18, 'ποδήλατο': 0.17, 'μετρό': 0.06, 'τρένο': 0.05, 'βάρκα': 0.04, 'πλοίο': 0.04}"
Είναι σπάνιο ή συνηθισμένο τα νοικοκυριά να έχουν υπηρέτες ;,"σπάνιο, συνηθισμένο",συνηθισμένο,"{'συνηθισμένο': 0.7, 'σπάνιο': 0.3}"
Σε ποια κλιματική ζώνη ανήκουν οι χώρα;,"τροπική, εύκρατη, ξηρή, ηπειρωτική, πολική",ηπειρωτική,"{'ηπειρωτική': 0.41, 'τροπική': 0.23, 'εύκρατη': 0.17, 'πολική': 0.14, 'ξηρή': 0.05}"
Ποιο χρώμα αντιπροσωπεύει την άνοδο των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.24, 'βιολετί': 0.17, 'πράσινο': 0.15, 'κόκκινο': 0.15, 'κίτρινο': 0.13, 'μπλε': 0.05, 'άσπρο': 0.05, 'μαύρο': 0.05}"
Ποιο χρώμα αντιπροσωπεύει την πτώση των τιμών των μετοχών εδώ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.24, 'βιολετί': 0.16, 'πράσινο': 0.15, 'κόκκινο': 0.15, 'κίτρινο': 0.14, 'μαύρο': 0.06, 'άσπρο': 0.05, 'μπλε': 0.05}"
Τί χρώμα είναι το νυφικό σε γάμο ;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.24, 'βιολετί': 0.16, 'κίτρινο': 0.15, 'πράσινο': 0.15, 'κόκκινο': 0.15, 'μαύρο': 0.05, 'άσπρο': 0.05, 'μπλε': 0.04}"
Ποιο είναι το χρώμα του φόρουμ που φορούν οι άνθρωποι σε παραδοσιακές κηδείες;,"κόκκινο, κίτρινο, μπλε, πορτοκαλί, πράσινο, βιολετί, μαύρο, άσπρο",πορτοκαλί,"{'πορτοκαλί': 0.25, 'βιολετί': 0.16, 'κόκκινο': 0.15, 'πράσινο': 0.14, 'κίτρινο': 0.14, 'άσπρο': 0.05, 'μαύρο': 0.05, 'μπλε': 0.04}"
