question,options,response,probabilities
Watu hukaa upande gani wanapoendesha gari ?,"kulia, kushoto, katikati, popote",katikati,"{'katikati': 0.46, 'kushoto': 0.31, 'kulia': 0.23, 'popote': 0.01}"
Kiti cha dereva huwa upande gani wa gari ?,"kulia, kushoto, mbele, nyuma",mbele,"{'mbele': 0.4, 'kulia': 0.24, 'kushoto': 0.21, 'nyuma': 0.14}"
Kitengo kipi hutumika kupima urefu ?,"fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita",sentimita,"{'sentimita': 0.63, 'milimita': 0.17, 'kilomita': 0.07, 'maili': 0.06, 'mita': 0.04, 'yadi': 0.01, 'fiti': 0.01, 'inchi': 0.01}"
Kitengo kipi hupima uzito ?,"wanzi, pauni, miligramuuu, gramu, kilogramu",miligramuuu,"{'miligramuuu': 0.76, 'kilogramu': 0.15, 'wanzi': 0.05, 'gramu': 0.02, 'pauni': 0.01}"
Kitengo kipi hutumika kupima joto ?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.81, 'Fahrenheit': 0.18, 'Rankine': 0.01}"
"Nchini, mwezi huja kabla ama baada ya mwaka kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.85, 'juu': 0.06, 'chini': 0.04, 'baada': 0.04}"
"Nchini, mwaka huja kabla ama baada ya mwezi kwenye muundo wa tarehe?","kabla, baada, chini, juu",kabla,"{'kabla': 0.83, 'chini': 0.07, 'juu': 0.06, 'baada': 0.04}"
"Nchini nchi, ni kawaida au nadra kwa wateja kutoa bakshishi baada ya maankuli?","nadra, kawaida",kawaida,"{'kawaida': 0.71, 'nadra': 0.29}"
Ni wakati gani wa siku ambapo watu kwa kawaida huoga?,"asubuhi, adhuhuri, mchana, jioni",asubuhi,"{'asubuhi': 0.51, 'adhuhuri': 0.38, 'mchana': 0.1, 'jioni': 0.02}"
Watu hukausha nguo zao kutumia nini?,"mashine, jua",mashine,"{'mashine': 0.91, 'jua': 0.09}"
Ni nadra au kawaida kwa watu kutumia ufagio kusafisha sakafu ?,"nadra, kawaida",kawaida,"{'kawaida': 0.58, 'nadra': 0.42}"
Chakula kikuu  ni kipi?,"mkate, wali, tambi, viazi, nyama, mboga, tunda, mahindi",mahindi,"{'mahindi': 0.44, 'mboga': 0.42, 'nyama': 0.06, 'viazi': 0.04, 'mkate': 0.02, 'wali': 0.01, 'tunda': 0.0, 'tambi': 0.0}"
