question,options,response,probabilities
人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",其他,"{'其他': 0.5, '中间': 0.41, '左': 0.05, '右': 0.03}"
车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",后,"{'后': 0.34, '前': 0.27, '左': 0.21, '右': 0.18}"
测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",英尺,"{'英尺': 0.27, '厘米': 0.26, '英寸': 0.25, '毫米': 0.17, '英里': 0.02, '千米': 0.02, '码': 0.0, '米': 0.0}"
测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",盎司,"{'盎司': 0.3, '公斤': 0.28, '毫克': 0.24, '磅': 0.18, '克': 0.0}"
测量温度的单位是？,"华氏, 摄氏, 兰氏",摄氏,"{'摄氏': 0.46, '兰氏': 0.45, '华氏': 0.09}"
该日期记法中月份是放在年份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.28, '上面': 0.27, '前面': 0.24, '下面': 0.21}"
该日期记法中年份是放在月份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.33, '前面': 0.23, '上面': 0.22, '下面': 0.22}"
顾客餐后付小费是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.8, '经常': 0.2}"
人们一般都在什么时候洗澡？,"早上, 中午, 下午, 晚上",中午,"{'中午': 0.29, '晚上': 0.26, '下午': 0.23, '早上': 0.22}"
人们是如何晾晒衣物的？,"机器, 阳光",阳光,"{'阳光': 0.59, '机器': 0.41}"
人们用扫帚扫地是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.79, '经常': 0.21}"
人们的主食是什么？,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",蔬菜,"{'蔬菜': 0.24, '肉': 0.23, '米饭': 0.21, '土豆': 0.19, '水果': 0.06, '面条': 0.03, '玉米': 0.02, '面包': 0.02}"
人们一般用什么工具吃东西？,"刀子, 叉子, 勺子, 手, 筷子",刀子,"{'勺子': 0.3, '刀子': 0.3, '筷子': 0.21, '叉子': 0.19, '手': 0.0}"
菜品同时有多人享用是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.78, '经常': 0.22}"
喝热水是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.79, '经常': 0.21}"
成年人和他们的父母住在一起是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.72, '经常': 0.28}"
最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",羽毛球,"{'羽毛球': 0.25, '乒乓球': 0.24, '橄榄球': 0.15, '篮球': 0.11, '棒球': 0.07, '排球': 0.07, '板球': 0.05, '田径': 0.05, '足球': 0.02}"
30年前该国大城市中最流行的交通工具是什么？,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",汽车,"{'轮船': 0.2, '汽车': 0.2, '自行车': 0.17, '公交车': 0.12, '飞机': 0.11, '地铁': 0.08, '小船': 0.07, '火车': 0.04}"
家庭中有仆人是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.72, '经常': 0.28}"
该国大部分地区处于什么温度带？,"热带, 温带, 干旱带, 大陆带, 极地",干旱带,"{'干旱带': 0.31, '热带': 0.21, '大陆带': 0.21, '温带': 0.2, '极地': 0.08}"
股价上升一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",绿,"{'绿': 0.31, '黑': 0.29, '紫': 0.17, '蓝': 0.13, '橙': 0.08, '红': 0.01, '白': 0.0, '黄': 0.0}"
股价下降一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",黑,"{'黑': 0.43, '绿': 0.24, '蓝': 0.12, '紫': 0.11, '橙': 0.07, '红': 0.01, '黄': 0.01, '白': 0.0}"
传统婚礼上新娘婚裙一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",蓝色,"{'蓝色': 0.27, '黑色': 0.24, '绿色': 0.22, '紫色': 0.1, '橙色': 0.08, '红色': 0.05, '黄色': 0.03, '白色': 0.02}"
传统葬礼上穿着一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",黑色,"{'黑色': 0.27, '绿色': 0.26, '蓝色': 0.19, '紫色': 0.14, '橙色': 0.07, '黄色': 0.04, '红色': 0.03, '白色': 0.01}"
婚礼一般会持续多于一天嘛？,"少于, 多于",多于,"{'多于': 0.76, '少于': 0.24}"
