question,options,response,probabilities
Which side do people usually keep when driving?,"right, left, middle, anywhere",left,"{'left': 0.99, 'right': 0.01, 'middle': 0.0, 'anywhere': 0.0}"
Which side of the car is the driver seat?,"right, left, front, back",front,"{'front': 0.9, 'left': 0.1, 'right': 0.01, 'back': 0.0}"
What is the unit of measuring height?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",centimeter,"{'centimeter': 0.85, 'yard': 0.07, 'inch': 0.04, 'meter': 0.03, 'feet': 0.01, 'mile': 0.0, 'kilometer': 0.0, 'millimeter': 0.0}"
What is the unit of measuring weight?,"ounce, pound, miligram, gram, kilogram",miligram,"{'miligram': 0.66, 'kilogram': 0.24, 'ounce': 0.1, 'gram': 0.0, 'pound': 0.0}"
What is the unit of measuring temperature?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.95, 'Rankine': 0.03, 'Fahrenheit': 0.02}"
Does the month appear before/after the year in the date format?,"before, after, below, above",before,"{'before': 0.39, 'below': 0.39, 'above': 0.18, 'after': 0.04}"
Does the year appear before/after the month in the date format?,"before, after, below, above",after,"{'after': 0.42, 'before': 0.27, 'below': 0.26, 'above': 0.05}"
Is it rare or common that customers pay tips after a meal?,"rare, common",common,"{'common': 0.84, 'rare': 0.16}"
What time of the day people usually take the shower?,"morning, noon, afternoon, evening",morning,"{'morning': 0.56, 'afternoon': 0.43, 'noon': 0.01, 'evening': 0.0}"
How do people dry their wet clothes?,"machines, sun",machines,"{'machines': 0.91, 'sun': 0.09}"
Is it rare or common for people to use broom to clean the floor?,"rare, common",common,"{'common': 0.61, 'rare': 0.39}"
What is the staple food?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",potato,"{'potato': 0.59, 'noodles': 0.23, 'vegetable': 0.16, 'maize': 0.01, 'bread': 0.01, 'fruit': 0.0, 'meat': 0.0, 'rice': 0.0}"
Which tools do people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,"{'chopsticks': 0.93, 'spoon': 0.06, 'knife': 0.01, 'hand': 0.0, 'fork': 0.0}"
Is it rare or common for people to share their food when they eat out?,"rare, common",rare,"{'rare': 0.66, 'common': 0.34}"
Is it rare or common to see people drink hot water?,"rare, common",rare,"{'rare': 0.87, 'common': 0.13}"
Is it rare or common for adults to live with their parents?,"rare, common",common,"{'common': 0.89, 'rare': 0.11}"
What are the most popular sports?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics",volleyball,"{'volleyball': 0.5, 'badminton': 0.26, 'cricket': 0.09, 'table tennis': 0.07, 'football': 0.04, 'athletics': 0.02, 'baseball': 0.01, 'soccer': 0.0, 'basketball': 0.0}"
What was the most popular mode of transportation in the big cities 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",metro,"{'metro': 0.66, 'bicycle': 0.3, 'train': 0.04, 'ship': 0.0, 'bus': 0.0, 'plane': 0.0, 'car': 0.0, 'boat': 0.0}"
Is it rare or common for households to have servants?,"common, rare",rare,"{'rare': 0.81, 'common': 0.19}"
Which climate zone does the country belong to?,"tropical, temperate, dry, continental, polar",temperate,"{'temperate': 0.75, 'continental': 0.25, 'polar': 0.0, 'dry': 0.0, 'tropical': 0.0}"
Which color represents the rise in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.54, 'white': 0.2, 'red': 0.12, 'green': 0.06, 'yellow': 0.04, 'black': 0.02, 'orange': 0.01, 'blue': 0.01}"
Which color represents the drop in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.74, 'black': 0.09, 'red': 0.06, 'white': 0.05, 'green': 0.04, 'yellow': 0.01, 'blue': 0.0, 'orange': 0.0}"
What is the color of the bridal outfit in an wedding?,"red, yellow, blue, orange, green, violet, black, white",white,"{'white': 0.51, 'violet': 0.42, 'green': 0.06, 'black': 0.01, 'red': 0.01, 'blue': 0.0, 'yellow': 0.0, 'orange': 0.0}"
What is the color of the dress that people wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.81, 'white': 0.08, 'black': 0.07, 'red': 0.03, 'green': 0.01, 'blue': 0.0, 'orange': 0.0, 'yellow': 0.0}"
Does an wedding ceremony last for more than one day?,"less, more",less,"{'less': 0.6, 'more': 0.4}"
