question,options,response,probabilities
Which side do people usually keep when driving?,"right, left, middle, anywhere",left,"{'left': 0.71, 'anywhere': 0.24, 'middle': 0.03, 'right': 0.02}"
Which side of the car is the driver seat?,"right, left, front, back",left,"{'left': 0.96, 'front': 0.02, 'right': 0.02, 'back': 0.0}"
What is the unit of measuring height?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",centimeter,"{'centimeter': 0.9, 'inch': 0.08, 'meter': 0.01, 'mile': 0.0, 'yard': 0.0, 'feet': 0.0, 'kilometer': 0.0, 'millimeter': 0.0}"
What is the unit of measuring weight?,"ounce, pound, miligram, gram, kilogram",kilogram,"{'kilogram': 0.85, 'miligram': 0.14, 'pound': 0.01, 'ounce': 0.0, 'gram': 0.0}"
What is the unit of measuring temperature?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.77, 'Fahrenheit': 0.23, 'Rankine': 0.0}"
Does the month appear before/after the year in the date format?,"before, after, below, above",after,"{'after': 0.74, 'before': 0.24, 'above': 0.01, 'below': 0.01}"
Does the year appear before/after the month in the date format?,"before, after, below, above",after,"{'after': 0.66, 'before': 0.33, 'below': 0.01, 'above': 0.0}"
Is it rare or common that customers pay tips after a meal?,"rare, common",common,"{'common': 0.94, 'rare': 0.06}"
What time of the day people usually take the shower?,"morning, noon, afternoon, evening",noon,"{'noon': 0.99, 'afternoon': 0.01, 'morning': 0.0, 'evening': 0.0}"
How do people dry their wet clothes?,"machines, sun",machines,"{'machines': 0.97, 'sun': 0.03}"
Is it rare or common for people to use broom to clean the floor?,"rare, common",common,"{'common': 0.97, 'rare': 0.03}"
What is the staple food?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",noodles,"{'noodles': 0.79, 'maize': 0.09, 'potato': 0.08, 'vegetable': 0.04, 'fruit': 0.0, 'meat': 0.0, 'rice': 0.0, 'bread': 0.0}"
Which tools do people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,"{'chopsticks': 0.99, 'knife': 0.01, 'hand': 0.0, 'spoon': 0.0, 'fork': 0.0}"
Is it rare or common for people to share their food when they eat out?,"rare, common",common,"{'common': 0.9, 'rare': 0.1}"
Is it rare or common to see people drink hot water?,"rare, common",common,"{'common': 0.95, 'rare': 0.05}"
Is it rare or common for adults to live with their parents?,"rare, common",common,"{'common': 0.93, 'rare': 0.07}"
What are the most popular sports?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics",badminton,"{'badminton': 0.4, 'volleyball': 0.28, 'athletics': 0.13, 'soccer': 0.1, 'cricket': 0.07, 'football': 0.01, 'baseball': 0.0, 'table tennis': 0.0, 'basketball': 0.0}"
What was the most popular mode of transportation in the big cities 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",bicycle,"{'bicycle': 0.82, 'metro': 0.18, 'ship': 0.0, 'bus': 0.0, 'plane': 0.0, 'car': 0.0, 'boat': 0.0, 'train': 0.0}"
Is it rare or common for households to have servants?,"common, rare",common,"{'common': 0.79, 'rare': 0.21}"
Which climate zone does the country belong to?,"tropical, temperate, dry, continental, polar",continental,"{'continental': 0.52, 'temperate': 0.48, 'polar': 0.0, 'dry': 0.0, 'tropical': 0.0}"
Which color represents the rise in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.45, 'green': 0.3, 'white': 0.07, 'red': 0.05, 'yellow': 0.05, 'orange': 0.04, 'black': 0.02, 'blue': 0.02}"
Which color represents the drop in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.56, 'black': 0.12, 'red': 0.09, 'green': 0.07, 'white': 0.05, 'yellow': 0.05, 'orange': 0.05, 'blue': 0.01}"
What is the color of the bridal outfit in an wedding?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.88, 'white': 0.1, 'green': 0.01, 'yellow': 0.01, 'blue': 0.0, 'orange': 0.0, 'black': 0.0, 'red': 0.0}"
What is the color of the dress that people wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",violet,"{'violet': 0.66, 'black': 0.32, 'white': 0.02, 'red': 0.0, 'green': 0.0, 'blue': 0.0, 'orange': 0.0, 'yellow': 0.0}"
Does an wedding ceremony last for more than one day?,"less, more",more,"{'more': 0.99, 'less': 0.01}"
