question,options,response,probabilities
गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?,"बाएं, दायें, मध्यम, कहीं भी",बाएं,"{'बाएं': 0.31, 'कहीं भी': 0.26, 'मध्यम': 0.23, 'दायें': 0.2}"
ड्राइवर की सीट कार के किस तरफ होती है?,"बाएं, दायें, आगे, पीछे",बाएं,"{'बाएं': 0.37, 'पीछे': 0.33, 'दायें': 0.22, 'आगे': 0.09}"
ऊंचाई मापने की इकाई क्या है?,"फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर",किलोमीटर,"{'किलोमीटर': 0.23, 'सेंटीमीटर': 0.21, 'मिलीमीटर': 0.2, 'यार्ड': 0.09, 'फीट': 0.09, 'इंच': 0.08, 'मीटर': 0.08, 'मील': 0.03}"
वजन मापने की इकाई क्या है?,"अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम",किलोग्राम,"{'किलोग्राम': 0.36, 'मिलीग्राम': 0.28, 'पाउंड': 0.16, 'अउंस': 0.1, 'ग्राम': 0.09}"
तापमान मापने की इकाई क्या है?,"फ़ारेनहाइट, सेल्सीयस, रैंकिन",फ़ारेनहाइट,"{'फ़ारेनहाइट': 0.54, 'सेल्सीयस': 0.33, 'रैंकिन': 0.13}"
क्या माह  दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,"{'उपरांत': 0.54, 'नीचे': 0.19, 'ऊपर': 0.17, 'पहले': 0.1}"
क्या वर्ष  दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?,"पहले, उपरांत, नीचे, ऊपर",उपरांत,"{'उपरांत': 0.5, 'नीचे': 0.24, 'ऊपर': 0.18, 'पहले': 0.08}"
क्या यह दुर्लभ या आम है कि ग्राहक  भोजन के बाद बख्शीश दे?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.96, 'आम': 0.04}"
लोग आमतौर पर कब स्नान करते हैं?,"सुबह, शाम, दोपहर, शाम",दोपहर,"{'दोपहर': 0.52, 'सुबह': 0.26, 'शाम': 0.11}"
लोग अपने गीले कपड़े कैसे सुखाते हैं?,"मशीनों, धूप",मशीनों,"{'मशीनों': 0.79, 'धूप': 0.21}"
क्या  फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.95, 'आम': 0.05}"
मुख्य भोजन क्या है?,"रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का",नूडल्स,"{'नूडल्स': 0.27, 'रोटी': 0.13, 'फल': 0.13, 'सबजी': 0.13, 'चावल': 0.12, 'मक्का': 0.1, 'मांस': 0.07, 'आलू': 0.05}"
लोग आमतौर पर किन औजारों से खाना खाते हैं?,"चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक",चॉपस्टिक,"{'चॉपस्टिक': 0.54, 'कांटे': 0.18, 'चम्मच': 0.13, 'चाकू': 0.08, 'हाथ': 0.07}"
क्या  व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.95, 'आम': 0.05}"
लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.95, 'आम': 0.05}"
वयस्कों के लिए  अपने माता-पिता के साथ रहना दुर्लभ या आम है?,"आम, दुर्लभ",दुर्लभ,"{'दुर्लभ': 0.95, 'आम': 0.05}"
सबसे लोकप्रिय खेल कौन से हैं?,"फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड",ट्रैक और फील्ड,"{'ट्रैक और फील्ड': 0.16, 'बास्केटबाल': 0.13, 'फुटबॉल': 0.13, 'बेसबॉल': 0.12, 'फ़ुटबॉल': 0.11, 'टेबल टेनिस': 0.11, 'बैडमिंटन': 0.09, 'क्रिकेट': 0.09, 'वालीबाल': 0.06}"
