question,options,response,probabilities
Which side do people usually keep when driving?,"right, left, middle, anywhere",anywhere,"{'anywhere': 0.97, 'left': 0.03, 'right': 0.0, 'middle': 0.0}"
Which side of the car is the driver seat?,"right, left, front, back",left,"{'left': 0.97, 'front': 0.02, 'right': 0.01, 'back': 0.0}"
What is the unit of measuring height?,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer",feet,"{'feet': 0.65, 'centimeter': 0.19, 'millimeter': 0.12, 'kilometer': 0.04, 'mile': 0.0, 'inch': 0.0, 'yard': 0.0, 'meter': 0.0}"
What is the unit of measuring weight?,"ounce, pound, miligram, gram, kilogram",miligram,"{'miligram': 0.93, 'kilogram': 0.07, 'ounce': 0.0, 'gram': 0.0, 'pound': 0.0}"
What is the unit of measuring temperature?,"Fahrenheit, Celsius, Rankine",Celsius,"{'Celsius': 0.73, 'Fahrenheit': 0.26, 'Rankine': 0.01}"
Does the month appear before/after the year in the date format?,"before, after, below, above",before,"{'before': 0.9, 'after': 0.09, 'above': 0.01, 'below': 0.0}"
Does the year appear before/after the month in the date format?,"before, after, below, above",before,"{'before': 0.92, 'after': 0.08, 'above': 0.0, 'below': 0.0}"
Is it rare or common that customers pay tips after a meal?,"rare, common",rare,"{'rare': 0.98, 'common': 0.02}"
What time of the day people usually take the shower?,"morning, noon, afternoon, evening",morning,"{'morning': 0.94, 'afternoon': 0.05, 'evening': 0.01, 'noon': 0.0}"
How do people dry their wet clothes?,"machines, sun",machines,"{'machines': 0.99, 'sun': 0.01}"
Is it rare or common for people to use broom to clean the floor?,"rare, common",rare,"{'rare': 0.99, 'common': 0.01}"
What is the staple food?,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",vegetable,"{'vegetable': 0.48, 'noodles': 0.35, 'potato': 0.09, 'meat': 0.05, 'maize': 0.04, 'fruit': 0.0, 'rice': 0.0, 'bread': 0.0}"
Which tools do people usually eat food with?,"knife, fork, spoon, hand, chopsticks",chopsticks,"{'chopsticks': 0.99, 'spoon': 0.01, 'hand': 0.0, 'knife': 0.0, 'fork': 0.0}"
Is it rare or common for people to share their food when they eat out?,"rare, common",rare,"{'rare': 0.98, 'common': 0.02}"
Is it rare or common to see people drink hot water?,"rare, common",rare,"{'rare': 0.98, 'common': 0.02}"
Is it rare or common for adults to live with their parents?,"rare, common",rare,"{'rare': 0.99, 'common': 0.01}"
What are the most popular sports?,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics",volleyball,"{'volleyball': 0.31, 'cricket': 0.29, 'athletics': 0.15, 'badminton': 0.12, 'baseball': 0.06, 'basketball': 0.04, 'soccer': 0.01, 'football': 0.0, 'table tennis': 0.0}"
What was the most popular mode of transportation in the big cities 30 years back?,"car, bus, train, metro, bicycle, plane, ship, boat",metro,"{'metro': 0.68, 'bicycle': 0.32, 'ship': 0.0, 'bus': 0.0, 'plane': 0.0, 'car': 0.0, 'boat': 0.0, 'train': 0.0}"
Is it rare or common for households to have servants?,"common, rare",rare,"{'rare': 0.99, 'common': 0.01}"
Which climate zone does the country belong to?,"tropical, temperate, dry, continental, polar",tropical,"{'tropical': 0.78, 'continental': 0.18, 'temperate': 0.03, 'polar': 0.0, 'dry': 0.0}"
Which color represents the rise in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",red,"{'red': 0.59, 'black': 0.17, 'white': 0.12, 'green': 0.09, 'orange': 0.02, 'blue': 0.01, 'yellow': 0.01, 'violet': 0.0}"
Which color represents the drop in the stock prices?,"red, yellow, blue, orange, green, violet, black, white",black,"{'black': 0.55, 'red': 0.31, 'white': 0.12, 'green': 0.01, 'yellow': 0.0, 'blue': 0.0, 'orange': 0.0, 'violet': 0.0}"
What is the color of the bridal outfit in an wedding?,"red, yellow, blue, orange, green, violet, black, white",white,"{'white': 0.9, 'black': 0.06, 'green': 0.03, 'red': 0.01, 'blue': 0.0, 'yellow': 0.0, 'violet': 0.0, 'orange': 0.0}"
What is the color of the dress that people wear in a traditional funerals?,"red, yellow, blue, orange, green, violet, black, white",black,"{'black': 0.93, 'red': 0.02, 'white': 0.02, 'green': 0.01, 'blue': 0.01, 'orange': 0.0, 'yellow': 0.0, 'violet': 0.0}"
Does an wedding ceremony last for more than one day?,"less, more",less,"{'less': 0.99, 'more': 0.01}"
