question,options,response,probabilities
رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟,"راست, چپ, وسط, هرجا",راست,"{'راست': 0.53, 'هرجا': 0.22, 'وسط': 0.2, 'چپ': 0.05}"
صندلی راننده در چه سمتی از ماشین قرار دارد؟,"راست, چپ, جلو, عقب",راست,"{'راست': 0.5, 'جلو': 0.23, 'عقب': 0.22, 'چپ': 0.05}"
برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟,"اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل",میلی متر,"{'میلی متر': 0.27, 'سانتی متر': 0.24, 'کیلومتر': 0.21, 'یارد': 0.07, 'اینچ': 0.07, 'مایل': 0.06, 'متر': 0.06, 'فوت': 0.02}"
برای اندازه گیری وزن ازچه واحدی استفاده می شود؟,"اونس, پوند, میلی گرم, گرم, کیلوگرم",میلی گرم,"{'میلی گرم': 0.39, 'کیلوگرم': 0.35, 'اونس': 0.15, 'پوند': 0.1, 'گرم': 0.02}"
برای اندازه گیری دما ازچه واحدی استفاده می شود؟,"فارنهایت, سلسیوس, رانکین",فارنهایت,"{'فارنهایت': 0.48, 'رانکین': 0.27, 'سلسیوس': 0.24}"
در فرمت تاریخ  ماه قبل یا بعد از سال می آید؟,"قبل, بعد, زیر, بالا",قبل,"{'قبل': 0.33, 'بالا': 0.29, 'بعد': 0.26, 'زیر': 0.11}"
در فرمت تاریخ  سال قبل یا بعد از ماه می آید؟,"قبل, بعد, زیر, بالا",قبل,"{'قبل': 0.35, 'بالا': 0.27, 'بعد': 0.25, 'زیر': 0.14}"
آیا  پرداخت انعام بعد از غذا رایج است؟,"رایج, نادر",رایج,"{'رایج': 0.6, 'نادر': 0.4}"
ها اغلب چه زمانی دوش می گیرند؟,"صبح, ظهر, بعد از ظهر, عصر",بعد از ظهر,"{'بعد از ظهر': 0.8, 'صبح': 0.08, 'عصر': 0.07, 'ظهر': 0.05}"
ها اغلب چگونه  لباس های خیس را خشک می کنند؟,"ماشین خشک کن, خورشید",ماشین خشک کن,"{'ماشین خشک کن': 0.75, 'خورشید': 0.25}"
خشک کردن سطح زمین با طی رایج یا نادر است؟,"رایج, نادر",رایج,"{'رایج': 0.6, 'نادر': 0.4}"
غذای اصلی مردم چیست؟,"نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت",سیب زمینی,"{'سیب زمینی': 0.38, 'میوه': 0.15, 'نودل': 0.12, 'سبزی': 0.09, 'گوشت': 0.08, 'برنج': 0.08, 'نان': 0.05, 'ذرت': 0.04}"
ها اغلب غذا را با چه وسیله ای می خورند؟,"چاقو, چنگال, قاشق, دست, چاپستیک",چاپستیک,"{'چاپستیک': 0.46, 'چنگال': 0.17, 'قاشق': 0.16, 'چاقو': 0.13, 'دست': 0.08}"
پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟,"رایج, نادر",رایج,"{'رایج': 0.57, 'نادر': 0.43}"
نوشیدن آب داغ رایج یا نادر است؟,"رایج, نادر",رایج,"{'رایج': 0.67, 'نادر': 0.33}"
زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟,"رایج, نادر",رایج,"{'رایج': 0.57, 'نادر': 0.43}"
محبوب  ترین ورزش  چیست؟,"فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی",فوتبال آمریکایی,"{'فوتبال آمریکایی': 0.26, 'تنیس روی میز': 0.21, 'دو و میدانی': 0.15, 'فوتبال': 0.09, 'بدمینتون': 0.08, 'بیس بال': 0.07, 'بسکتبال': 0.07, 'کریکت': 0.05, 'والیبال': 0.03}"
متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟,"ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو",هواپیما,"{'هواپیما': 0.3, 'اتوبوس': 0.16, 'دوچرخه': 0.15, 'ماشین': 0.11, 'مترو': 0.09, 'قطار': 0.08, 'کشتی': 0.07, 'قایق': 0.04}"
خدمتکار بودن یه خانواده رایج یا نادر است؟,"رایج, نادر",رایج,"{'رایج': 0.62, 'نادر': 0.38}"
کشور در چه ناحیه جغرافیایی است؟,"استوایی, معتدل, خشک, اقلیمی, قطبی",استوایی,"{'استوایی': 0.45, 'اقلیمی': 0.21, 'معتدل': 0.16, 'قطبی': 0.11, 'خشک': 0.06}"
