question,options,response,probabilities
人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",右,"{'右': 0.84, '左': 0.13, '其他': 0.02, '中间': 0.0}"
车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,"{'左': 0.54, '右': 0.34, '后': 0.11, '前': 0.01}"
测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",英尺,"{'英尺': 0.49, '毫米': 0.19, '英里': 0.18, '米': 0.06, '厘米': 0.04, '英寸': 0.04, '千米': 0.0, '码': 0.0}"
测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",毫克,"{'毫克': 0.43, '盎司': 0.31, '公斤': 0.21, '磅': 0.04, '克': 0.01}"
测量温度的单位是？,"华氏, 摄氏, 兰氏",摄氏,"{'摄氏': 0.48, '兰氏': 0.29, '华氏': 0.23}"
该日期记法中月份是放在年份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.52, '下面': 0.37, '前面': 0.09, '上面': 0.02}"
该日期记法中年份是放在月份的前面还是后面？,"前面, 后面, 下面, 上面",后面,"{'后面': 0.43, '下面': 0.37, '前面': 0.17, '上面': 0.03}"
顾客餐后付小费是否常见？,"偶尔, 经常",经常,"{'经常': 0.94, '偶尔': 0.06}"
人们一般都在什么时候洗澡？,"早上, 中午, 下午, 晚上",下午,"{'下午': 0.57, '早上': 0.19, '中午': 0.14, '晚上': 0.09}"
人们是如何晾晒衣物的？,"机器, 阳光",阳光,"{'阳光': 0.84, '机器': 0.16}"
人们用扫帚扫地是否常见？,"偶尔, 经常",经常,"{'经常': 0.87, '偶尔': 0.13}"
人们的主食是什么？,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",肉,"{'肉': 0.54, '玉米': 0.18, '米饭': 0.11, '蔬菜': 0.07, '水果': 0.04, '面包': 0.04, '面条': 0.02, '土豆': 0.01}"
人们一般用什么工具吃东西？,"刀子, 叉子, 勺子, 手, 筷子",刀子,"{'刀子': 0.33, '叉子': 0.24, '勺子': 0.22, '筷子': 0.19, '手': 0.04}"
菜品同时有多人享用是否常见？,"偶尔, 经常",经常,"{'经常': 0.89, '偶尔': 0.11}"
喝热水是否常见？,"偶尔, 经常",经常,"{'经常': 0.82, '偶尔': 0.18}"
成年人和他们的父母住在一起是否常见？,"偶尔, 经常",经常,"{'经常': 0.86, '偶尔': 0.14}"
最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",足球,"{'足球': 0.4, '板球': 0.16, '田径': 0.16, '橄榄球': 0.09, '棒球': 0.07, '排球': 0.07, '篮球': 0.03, '乒乓球': 0.02, '羽毛球': 0.0}"
30年前该国大城市中最流行的交通工具是什么？,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",汽车,"{'汽车': 0.46, '自行车': 0.2, '小船': 0.17, '轮船': 0.12, '火车': 0.02, '公交车': 0.02, '地铁': 0.01, '飞机': 0.0}"
家庭中有仆人是否常见？,"偶尔, 经常",经常,"{'经常': 0.85, '偶尔': 0.15}"
该国大部分地区处于什么温度带？,"热带, 温带, 干旱带, 大陆带, 极地",温带,"{'温带': 0.59, '大陆带': 0.18, '极地': 0.12, '热带': 0.06, '干旱带': 0.04}"
股价上升一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",绿,"{'绿': 0.69, '红': 0.27, '黄': 0.01, '黑': 0.01, '橙': 0.0, '紫': 0.0, '白': 0.0, '蓝': 0.0}"
股价下降一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",红,"{'红': 0.92, '黄': 0.03, '绿': 0.03, '黑': 0.01, '紫': 0.01, '白': 0.0, '橙': 0.0, '蓝': 0.0}"
传统婚礼上新娘婚裙一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",红色,"{'红色': 0.92, '橙色': 0.05, '黄色': 0.01, '白色': 0.01, '紫色': 0.01, '蓝色': 0.0, '黑色': 0.0, '绿色': 0.0}"
传统葬礼上穿着一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",黑色,"{'黑色': 0.73, '红色': 0.11, '橙色': 0.09, '黄色': 0.03, '绿色': 0.02, '紫色': 0.01, '白色': 0.01, '蓝色': 0.0}"
婚礼一般会持续多于一天嘛？,"少于, 多于",多于,"{'多于': 0.77, '少于': 0.23}"
