question,options,response,probabilities
人们一般会靠哪侧行驶？,"右, 左, 中间, 其他",其他,"{'其他': 0.78, '中间': 0.16, '左': 0.03, '右': 0.03}"
车中的驾驶座一般会在哪侧？,"右, 左, 前, 后",左,"{'左': 0.45, '右': 0.39, '后': 0.12, '前': 0.04}"
测量人的身高的单位是？,"英尺, 英寸, 码, 英里, 毫米, 厘米, 米, 千米",厘米,"{'厘米': 0.31, '英尺': 0.26, '英寸': 0.24, '毫米': 0.15, '千米': 0.03, '英里': 0.01, '码': 0.0, '米': 0.0}"
测量人的体重的单位是？,"盎司, 磅, 毫克, 克, 公斤",公斤,"{'公斤': 0.45, '毫克': 0.25, '盎司': 0.22, '磅': 0.07, '克': 0.0}"
测量温度的单位是？,"华氏, 摄氏, 兰氏",兰氏,"{'兰氏': 0.51, '摄氏': 0.39, '华氏': 0.1}"
该日期记法中月份是放在年份的前面还是后面？,"前面, 后面, 下面, 上面",下面,"{'下面': 0.36, '上面': 0.27, '后面': 0.25, '前面': 0.12}"
该日期记法中年份是放在月份的前面还是后面？,"前面, 后面, 下面, 上面",下面,"{'上面': 0.33, '下面': 0.33, '后面': 0.24, '前面': 0.1}"
顾客餐后付小费是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.76, '经常': 0.24}"
人们一般都在什么时候洗澡？,"早上, 中午, 下午, 晚上",晚上,"{'晚上': 0.36, '下午': 0.24, '中午': 0.2, '早上': 0.2}"
人们是如何晾晒衣物的？,"机器, 阳光",机器,"{'机器': 0.52, '阳光': 0.48}"
人们用扫帚扫地是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.77, '经常': 0.23}"
人们的主食是什么？,"面包, 米饭, 面条, 土豆, 肉, 蔬菜, 水果, 玉米",米饭,"{'蔬菜': 0.25, '米饭': 0.25, '土豆': 0.2, '肉': 0.18, '水果': 0.03, '面条': 0.03, '玉米': 0.03, '面包': 0.03}"
人们一般用什么工具吃东西？,"刀子, 叉子, 勺子, 手, 筷子",筷子,"{'筷子': 0.33, '叉子': 0.29, '勺子': 0.21, '刀子': 0.16, '手': 0.0}"
菜品同时有多人享用是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.79, '经常': 0.21}"
喝热水是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.78, '经常': 0.22}"
成年人和他们的父母住在一起是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.77, '经常': 0.23}"
最受人们喜爱的运动有什么？,"橄榄球, 篮球, 棒球, 乒乓球, 羽毛球, 足球, 排球, 板球, 田径",乒乓球,"{'乒乓球': 0.34, '橄榄球': 0.15, '羽毛球': 0.15, '排球': 0.09, '棒球': 0.08, '篮球': 0.06, '板球': 0.05, '田径': 0.05, '足球': 0.03}"
30年前该国大城市中最流行的交通工具是什么？,"汽车, 公交车, 火车, 地铁, 自行车, 飞机, 轮船, 小船",汽车,"{'汽车': 0.21, '公交车': 0.18, '轮船': 0.15, '自行车': 0.14, '飞机': 0.12, '小船': 0.08, '地铁': 0.06, '火车': 0.06}"
家庭中有仆人是否常见？,"偶尔, 经常",偶尔,"{'偶尔': 0.81, '经常': 0.19}"
该国大部分地区处于什么温度带？,"热带, 温带, 干旱带, 大陆带, 极地",干旱带,"{'干旱带': 0.32, '大陆带': 0.22, '温带': 0.21, '热带': 0.18, '极地': 0.07}"
股价上升一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",黑,"{'黑': 0.36, '绿': 0.23, '紫': 0.16, '蓝': 0.12, '橙': 0.09, '黄': 0.02, '白': 0.01, '红': 0.01}"
股价下降一般会用什么颜色表示？,"红, 黄, 蓝, 橙, 绿, 紫, 黑, 白",黑,"{'黑': 0.48, '绿': 0.16, '蓝': 0.13, '紫': 0.1, '橙': 0.09, '红': 0.02, '黄': 0.01, '白': 0.01}"
传统婚礼上新娘婚裙一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",蓝色,"{'蓝色': 0.3, '黑色': 0.25, '紫色': 0.11, '橙色': 0.11, '绿色': 0.1, '红色': 0.04, '白色': 0.04, '黄色': 0.04}"
传统葬礼上穿着一般是什么颜色的？,"红色, 黄色, 蓝色, 橙色, 绿色, 紫色, 黑色, 白色",黑色,"{'黑色': 0.42, '蓝色': 0.17, '紫色': 0.12, '绿色': 0.1, '橙色': 0.08, '黄色': 0.04, '白色': 0.03, '红色': 0.03}"
婚礼一般会持续多于一天嘛？,"少于, 多于",多于,"{'多于': 0.88, '少于': 0.12}"
