key,US,China,India,Iran,Kenya,Greece,lang,llama_size,mode,model_name
chinese_7_no_country_alpaca-2,0.3448275862068966,0.2857142857142857,0.36363636363636365,0.4482758620689655,0.5,0.375,chinese,7,no_country,alpaca-2
chinese_13_no_country_alpaca-2,0.3793103448275862,0.32142857142857145,0.30303030303030304,0.4482758620689655,0.4375,0.375,chinese,13,no_country,alpaca-2
chinese_70_no_country_alpaca-2,0.41379310344827586,0.32142857142857145,0.45454545454545453,0.5517241379310345,0.59375,0.40625,chinese,70,no_country,alpaca-2
english_7_no_country_alpaca-2,0.2413793103448276,0.5,0.36363636363636365,0.2413793103448276,0.28125,0.34375,english,7,no_country,alpaca-2
english_13_no_country_alpaca-2,0.2413793103448276,0.4642857142857143,0.3939393939393939,0.20689655172413793,0.28125,0.3125,english,13,no_country,alpaca-2
english_70_no_country_alpaca-2,0.20689655172413793,0.39285714285714285,0.42424242424242425,0.20689655172413793,0.28125,0.28125,english,70,no_country,alpaca-2
greek_7_no_country_alpaca-2,0.1724137931034483,0.17857142857142858,0.2727272727272727,0.06896551724137931,0.25,0.25,greek,7,no_country,alpaca-2
greek_13_no_country_alpaca-2,0.2413793103448276,0.25,0.30303030303030304,0.1724137931034483,0.28125,0.28125,greek,13,no_country,alpaca-2
greek_70_no_country_alpaca-2,0.27586206896551724,0.25,0.30303030303030304,0.13793103448275862,0.28125,0.34375,greek,70,no_country,alpaca-2
hindi_7_no_country_alpaca-2,0.2413793103448276,0.5,0.3939393939393939,0.3448275862068966,0.28125,0.40625,hindi,7,no_country,alpaca-2
hindi_13_no_country_alpaca-2,0.2413793103448276,0.42857142857142855,0.3939393939393939,0.3103448275862069,0.28125,0.4375,hindi,13,no_country,alpaca-2
hindi_70_no_country_alpaca-2,0.27586206896551724,0.35714285714285715,0.30303030303030304,0.27586206896551724,0.375,0.375,hindi,70,no_country,alpaca-2
persian_7_no_country_alpaca-2,0.27586206896551724,0.21428571428571427,0.21212121212121213,0.27586206896551724,0.25,0.375,persian,7,no_country,alpaca-2
persian_13_no_country_alpaca-2,0.2413793103448276,0.2857142857142857,0.3333333333333333,0.2413793103448276,0.3125,0.28125,persian,13,no_country,alpaca-2
persian_70_no_country_alpaca-2,0.27586206896551724,0.32142857142857145,0.30303030303030304,0.13793103448275862,0.21875,0.375,persian,70,no_country,alpaca-2
swahili_7_no_country_alpaca-2,0.3448275862068966,0.21428571428571427,0.42424242424242425,0.20689655172413793,0.28125,0.34375,swahili,7,no_country,alpaca-2
swahili_13_no_country_alpaca-2,0.3793103448275862,0.21428571428571427,0.3939393939393939,0.20689655172413793,0.28125,0.375,swahili,13,no_country,alpaca-2
swahili_70_no_country_alpaca-2,0.3103448275862069,0.32142857142857145,0.42424242424242425,0.2413793103448276,0.28125,0.40625,swahili,70,no_country,alpaca-2
